,eye_id,timestamp,topic,confidence,diameter_2d [px],diameter_3d [mm],timestamp_corrected
76195,0,1583864125.11079,pupil.0,0.9990475249860608,43.385647763998,2.722008283347352,0.006597042083740234
76197,0,1583864125.1188588,pupil.0,0.9995926734406104,43.302156954263246,2.7167619448232205,0.014665842056274414
76199,0,1583864125.1834118,pupil.0,0.999342900893822,43.39928707138395,2.7228202331119564,0.07921886444091797
76200,0,1583864125.1914806,pupil.0,0.9992640956756268,43.38658125439184,2.7219858309107945,0.08728766441345215
76202,0,1583864125.19955,pupil.0,0.9996071172101928,43.26436106578122,2.7143382758253347,0.09535694122314453
76206,0,1583864125.215688,pupil.0,0.9991281885311236,43.49632406096273,2.7288605481923236,0.1114950180053711
76208,0,1583864125.223757,pupil.0,0.9990900267301249,43.46294938102659,2.7267230431015674,0.11956405639648438
76210,0,1583864125.2318258,pupil.0,0.9335385182905058,43.11333869662876,2.704833842770422,0.12763285636901855
76212,0,1583864125.2398946,pupil.0,0.9950132583468008,43.54293493501116,2.7318115389825937,0.13570165634155273
76214,0,1583864125.2479641,pupil.0,0.9969020417567436,43.7058552021694,2.7420314858670034,0.14377117156982422
76216,0,1583864125.256033,pupil.0,0.8699309623750843,43.30153040950017,2.716727303874748,0.1518399715423584
76218,0,1583864125.264102,pupil.0,0.9489456425500482,43.49465426162306,2.7287837951020184,0.15990900993347168
76220,0,1583864125.272171,pupil.0,0.9987588918875114,43.7150680872274,2.742660988970881,0.16797804832458496
76222,0,1583864125.2802398,pupil.0,0.9987684945743309,43.71421338884668,2.742592049219458,0.17604684829711914
76224,0,1583864125.2883089,pupil.0,0.9993716417714522,43.56747412307593,2.7334296943790037,0.18411588668823242
76226,0,1583864125.296378,pupil.0,0.8384753881028492,43.472361934374725,2.7275268386386844,0.1921849250793457
76228,0,1583864125.3044472,pupil.0,0.9988261016258346,43.7128115774056,2.7424987675431,0.20025420188903809
76230,0,1583864125.312516,pupil.0,0.8558976331570788,43.38437186909958,2.7220329690781395,0.20832300186157227
76234,0,1583864125.3286538,pupil.0,0.8226372049287217,43.272662334842956,2.7149958375382384,0.22446084022521973
76236,0,1583864125.3367226,pupil.0,0.9987481205664992,43.953930039338246,2.7577112881242423,0.2325296401977539
76238,0,1583864125.3447928,pupil.0,0.8340294502634364,43.36356476943365,2.7207063995489795,0.2405998706817627
76242,0,1583864125.3609312,pupil.0,0.9990696435505484,43.91600328729513,2.755321472860679,0.25673818588256836
76245,0,1583864125.369,pupil.0,0.8850568479262328,43.64634642277507,2.7385187663649124,0.26480698585510254
76246,0,1583864125.377069,pupil.0,0.9996877356291228,43.69895027583404,2.741707783943882,0.2728760242462158
76248,0,1583864125.385138,pupil.0,0.8602669497861007,43.847531706614596,2.751153748120858,0.2809450626373291
76250,0,1583864125.3932068,pupil.0,0.9994303114877636,43.94847598320918,2.7573441193840345,0.2890138626098633
76252,0,1583864125.4012759,pupil.0,0.9991681328717616,44.18822444507991,2.7724581899853478,0.29708290100097656
76255,0,1583864125.409345,pupil.0,0.824490056173853,44.1479527945386,2.770019440583184,0.30515193939208984
76259,0,1583864125.425483,pupil.0,0.8264933230296204,44.22600085741454,2.7749487762868945,0.3212900161743164
76261,0,1583864125.433552,pupil.0,0.9932719081419016,44.31319770095784,2.7803296152528123,0.3293590545654297
76262,0,1583864125.4416206,pupil.0,0.998814675409026,44.53081694860125,2.793957057448809,0.33742761611938477
76267,0,1583864125.457759,pupil.0,0.9987177986898952,44.470374045716966,2.790124608759045,0.35356593132019043
76268,0,1583864125.465828,pupil.0,0.9992700014324316,44.40955555291988,2.78629026522174,0.3616349697113037
76272,0,1583864125.481966,pupil.0,0.8441388550458147,44.147059006423305,2.7699649504849178,0.3777730464935303
76274,0,1583864125.4900348,pupil.0,0.9992372487751378,44.47462613212963,2.7903596274314117,0.38584184646606445
76277,0,1583864125.4981046,pupil.0,0.9992652023257736,44.43436373012296,2.787801755095878,0.39391160011291504
76278,0,1583864125.5061738,pupil.0,0.8048877684560684,44.17062317803547,2.7713624423195875,0.4019808769226074
76280,0,1583864125.514243,pupil.0,0.9990468580773892,44.65625544456945,2.8017685296768335,0.4100499153137207
76282,0,1583864125.522312,pupil.0,0.946313777575063,44.641299729987324,2.800848787788011,0.418118953704834
76284,0,1583864125.530381,pupil.0,0.8263820165678843,44.04801091716761,2.763742664398372,0.42618799209594727
76286,0,1583864125.53845,pupil.0,0.991343887353397,44.51621331061728,2.793735577396994,0.43425703048706055
76288,0,1583864125.5465188,pupil.0,0.9996402045237348,44.533664958659756,2.7970234926240294,0.4423258304595947
76290,0,1583864125.5545876,pupil.0,0.9917952996148031,44.965686470974845,2.8264435214436725,0.4503946304321289
76292,0,1583864125.5626569,pupil.0,0.9897225369318416,44.97782016256394,2.828129841124103,0.4584639072418213
76294,0,1583864125.570726,pupil.0,0.973043364001953,45.32827840351658,2.849844087078392,0.46653294563293457
76296,0,1583864125.578795,pupil.0,0.9894878981062036,45.56890108900246,2.8649673734743937,0.47460198402404785
76298,0,1583864125.586864,pupil.0,0.9745813318559092,44.186472413238924,2.7781908046490216,0.48267102241516113
76299,0,1583864125.594933,pupil.0,0.9973457022515756,45.368745036531365,2.852458977868701,0.4907400608062744
76302,0,1583864125.6030018,pupil.0,0.955080734713508,45.33845935396739,2.8505845962174665,0.4988088607788086
76304,0,1583864125.6110706,pupil.0,0.9234195392315993,45.47951362929704,2.859438187422287,0.5068776607513428
76306,0,1583864125.6191401,pupil.0,0.99500376256225,45.60013167065917,2.8670469998696877,0.5149471759796143
76308,0,1583864125.627209,pupil.0,0.9822157075047332,45.378330650403356,2.8530246468040388,0.5230159759521484
76310,0,1583864125.635278,pupil.0,0.9551922671143608,45.3458179433971,2.850913878163328,0.5310850143432617
76312,0,1583864125.643347,pupil.0,0.9532168297113528,45.48661413980561,2.859777469873209,0.539154052734375
76314,0,1583864125.651417,pupil.0,0.9308091238100346,45.36246748981496,2.8519325877857,0.5472240447998047
76316,0,1583864125.6594858,pupil.0,0.9751340089130032,45.19328334868835,2.8413345861402184,0.5552928447723389
76318,0,1583864125.6675546,pupil.0,0.9980763684701373,45.40819148627887,2.8549879865140713,0.563361644744873
76320,0,1583864125.6756241,pupil.0,0.9476082177764956,45.563001515395726,2.8646384701137664,0.5714311599731445
76322,0,1583864125.683693,pupil.0,0.9025251953286719,45.5055818772884,2.8609323027168263,0.5794999599456787
76324,0,1583864125.691762,pupil.0,0.9976940763248432,45.48292544146819,2.8596368293850225,0.587568998336792
76326,0,1583864125.699831,pupil.0,0.9395898893702584,45.713663549657866,2.8740854208259647,0.5956380367279053
76328,0,1583864125.7078998,pupil.0,0.9976487123581664,45.56444922568765,2.8648062150956304,0.6037068367004395
76330,0,1583864125.7159688,pupil.0,0.9967888535680529,45.490206079924754,2.8601291493835106,0.6117758750915527
76332,0,1583864125.7240381,pupil.0,0.8781665798825906,45.564212992663215,2.864744661449157,0.6198451519012451
76334,0,1583864125.732107,pupil.0,0.9901016722426528,45.41586856390485,2.8554018394154332,0.6279139518737793
76336,0,1583864125.740176,pupil.0,0.997804072712334,45.48577659962349,2.859813006981004,0.6359829902648926
76338,0,1583864125.748245,pupil.0,0.9980734695786414,45.39060140927701,2.8537848625091047,0.6440520286560059
76340,0,1583864125.7563136,pupil.0,0.9975918374221874,45.624996710285494,2.8685847442310752,0.6521205902099609
76342,0,1583864125.7643828,pupil.0,0.9000595115647321,45.59551888875382,2.8667185560645048,0.6601898670196533
76344,0,1583864125.7724519,pupil.0,0.9506082587299398,45.63201425335864,2.8690593868225784,0.6682589054107666
76346,0,1583864125.7805212,pupil.0,0.9971347240089368,45.816417724175075,2.8806502153331857,0.676328182220459
76348,0,1583864125.78859,pupil.0,0.9941588144790309,45.61438443322445,2.8678915368842754,0.6843969821929932
76350,0,1583864125.796659,pupil.0,0.9327386836886408,45.51006395003691,2.8613447188009973,0.6924660205841064
76353,0,1583864125.804729,pupil.0,0.9978518588097072,45.656262631890925,2.870626034332941,0.7005360126495361
76355,0,1583864125.812798,pupil.0,0.9975226651930048,45.596156840772565,2.8668049718025075,0.7086050510406494
76356,0,1583864125.8208668,pupil.0,0.9919840498876203,45.77423153212478,2.8780299109419087,0.7166738510131836
76359,0,1583864125.8289359,pupil.0,0.9974613371423342,45.777876556058,2.8781899055310864,0.7247428894042969
76361,0,1583864125.8370051,pupil.0,0.9524567051034288,45.80491092912942,2.8799562378704686,0.7328121662139893
76362,0,1583864125.845074,pupil.0,0.9884394681503208,45.56833643601573,2.865050911898133,0.7408809661865234
76365,0,1583864125.853143,pupil.0,0.9837062491435659,45.75086314305495,2.8765438965805137,0.7489500045776367
76366,0,1583864125.861212,pupil.0,0.9982052590895126,45.62254258751398,2.8684685470482747,0.75701904296875
76369,0,1583864125.8692806,pupil.0,0.9975826808101792,45.79967427673301,2.8796049521535765,0.7650876045227051
76370,0,1583864125.87735,pupil.0,0.9350380892105292,45.860055843354225,2.88341258241853,0.7731571197509766
76372,0,1583864125.885419,pupil.0,0.9981252234528818,45.64538568677521,2.869904908008354,0.7812259197235107
76375,0,1583864125.8934882,pupil.0,0.9969998738468612,46.002967694179624,2.8924378253447456,0.7892951965332031
76377,0,1583864125.901557,pupil.0,0.9905616758943432,45.72055424086753,2.8746703329165917,0.7973639965057373
76378,0,1583864125.909626,pupil.0,0.9568427927296907,45.9483984325809,2.88895694230406,0.8054330348968506
76380,0,1583864125.9176948,pupil.0,0.9757656682435122,46.039578213573535,2.8946804370823656,0.8135018348693848
76382,0,1583864125.9257636,pupil.0,0.9974975895758558,46.01513156894796,2.893168773005627,0.821570634841919
76385,0,1583864125.9338331,pupil.0,0.9972867681452109,46.02981774832361,2.894039542869212,0.8296401500701904
76386,0,1583864125.941902,pupil.0,0.9977591096669816,45.9450253809686,2.888638383053553,0.8377089500427246
76389,0,1583864125.9499712,pupil.0,0.9981569956713958,45.977506129551344,2.8906239586958367,0.845778226852417
76390,0,1583864125.958041,pupil.0,0.997305501833148,46.189472541179896,2.9040033797018507,0.8538479804992676
76393,0,1583864125.96611,pupil.0,0.9978682684658402,46.00828641913725,2.892575217375838,0.8619170188903809
76394,0,1583864125.9741788,pupil.0,0.9577223039034912,46.09133112400863,2.8977021125825178,0.869985818862915
76396,0,1583864125.9822476,pupil.0,0.9589397068009178,45.9767958205521,2.890527175285197,0.8780546188354492
76398,0,1583864125.9903169,pupil.0,0.9456632396701607,46.20845365965933,2.9050586834689236,0.8861238956451416
76400,0,1583864125.998386,pupil.0,0.914873850613108,46.14375001410282,2.9010041489723672,0.8941929340362549
76402,0,1583864126.0064552,pupil.0,0.9975900459245288,46.289841568229434,2.9102185410014445,0.9022622108459473
76404,0,1583864126.014524,pupil.0,0.9978594962469644,46.4171116745601,2.9181978255660503,0.9103310108184814
76406,0,1583864126.022593,pupil.0,0.9973276010993918,46.52356682643876,2.924879393666832,0.9184000492095947
76408,0,1583864126.0306618,pupil.0,0.9974028009502632,46.44355031099259,2.919920416326831,0.9264688491821289
76410,0,1583864126.0387306,pupil.0,0.9859212508205152,46.490250661657285,2.9227680695902962,0.9345376491546631
76412,0,1583864126.0468,pupil.0,0.9970143917597538,46.800449950991506,2.9422560053542344,0.9426069259643555
