stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
28.0,26.0,1.702564716,1.0,1.0,278.0,43.0,108.0,27.0,-16.0,-15.111543363233707,-15.0,170.0,0.34445293147021255,0.07668734359357476,0.1261293461963449,-1.2437206720950083,0.0007065894469580457
111.0,106.0,4.768296957,2.0,1.0,157.0,102.0,97.0,103.0,1.0,-4.545191523578481,9.0,60.0,1.1084634194492666,-0.17270339642841692,0.15643469502994994,0.19877298580173305,0.0010676422027416281
43.0,27.0,2.1633830069999997,3.0,1.0,108.0,130.0,1.0,113.0,-17.0,-11.410642140464248,59.0,107.0,-0.9145785758632142,-0.8010952001446939,-0.04731466789500967,2.289574320241673,0.00143809891092131
102.0,103.0,2.7032387260000004,4.0,1.0,97.0,90.0,22.0,115.0,25.0,14.430221218331823,12.0,75.0,-0.887200042762045,-0.6351543516942237,-0.07791313481259954,1.406644061781914,0.0018212521096729096
130.0,113.0,5.268729925,5.0,1.0,1.0,80.0,293.0,93.0,13.0,5.637034759625223,50.0,68.0,-0.3986694043546291,-1.0143557974822095,-0.056937038501649176,0.35169423450184745,0.002220531045863678
90.0,115.0,4.802813292,6.0,1.0,22.0,36.0,359.0,29.0,-7.0,-5.795583140132862,54.0,23.0,0.04192780783782261,-0.6527702541852557,-0.031554918752154756,-1.121351706645536,0.0026395375285029714
80.0,93.0,2.701120853,7.0,1.0,293.0,142.0,313.0,143.0,1.0,-8.626368550099883,-62.0,-20.0,1.8343747556939467,-0.9552421917513209,0.092453742615414,1.716067309767746,0.003082082827872337
36.0,29.0,5.314698935,8.0,1.0,359.0,35.0,324.0,25.0,-10.0,-8.779659894547137,1.0,35.0,-0.366641696924916,-0.7310139255858427,-0.025415059070678852,0.4530602246903947,0.003552225753022103
142.0,143.0,3.787733078,9.0,1.0,313.0,68.0,99.0,46.0,-22.0,-23.995657608448525,-72.0,-146.0,2.7362711872176866,-0.8436981631917666,0.21557332285467573,-0.37403685576932993,0.004054311992741786
35.0,25.0,1.967544079,10.0,1.0,324.0,9.0,112.0,1.0,-8.0,-8.410358101815984,26.0,-148.0,1.1043698259140942,-0.6404237506446467,0.10622526901627477,0.8582881885325536,0.004593014744693092
68.0,46.0,2.166476965,11.0,1.0,99.0,93.0,302.0,110.0,17.0,6.581900599269929,-25.0,157.0,0.3434396820775921,-0.9437943572275731,0.03766628770144093,0.8039676976569201,0.005173376581884124
9.0,1.0,1.6669549940000001,12.0,1.0,112.0,11.0,54.0,9.0,-2.0,-2.458559231483015,-2.0,58.0,-0.6327243212439225,-1.1531675820560685,-0.04543238149792765,-0.8931829419551649,0.005800852412524549
93.0,110.0,2.967221975,13.0,1.0,302.0,101.0,233.0,105.0,4.0,-2.406108864106855,-8.0,69.0,-2.120235520049533,-1.060141544148352,-0.2778070822811972,1.1172783171196514,0.0064813532757548725
11.0,9.0,1.3721210959999999,14.0,1.0,54.0,124.0,25.0,113.0,-11.0,0.03687531355909357,33.0,29.0,1.1501020679875313,-1.240244902633194,0.03688278468129471,0.5858355593922694,0.007221290578833745
101.0,105.0,3.0831089019999998,15.0,1.0,233.0,137.0,297.0,140.0,3.0,-2.323504580437387,-36.0,-64.0,-1.3880197869993005,-0.9656004802870474,-0.1020737902702295,-0.7043034761181599,0.008027620218062982
124.0,113.0,5.666539192,16.0,1.0,25.0,31.0,237.0,32.0,1.0,2.1452199735432487,-53.0,148.0,-0.32047447889610003,-0.8283244049135186,-0.0059966514270922144,-0.6382669269821852,0.008907885833051495
