stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
28.0,26.0,2.7032387260000004,1.0,1.0,278.0,102.0,97.0,103.0,1.0,-4.589385671410309,72.0,-179.0,0.6304492439308447,-0.6697938534762928,-0.06693081905408112,-0.706747231084291,-0.0031269950750382252
111.0,106.0,5.268729925,2.0,1.0,157.0,130.0,1.0,113.0,-17.0,-11.468656705764612,-19.0,156.0,0.27470595696074523,-0.5497111281238802,-0.024488943220500978,0.04717455858042945,-0.004727523566350412
43.0,27.0,4.802813292,3.0,1.0,108.0,90.0,22.0,115.0,25.0,14.39637465223409,-47.0,86.0,2.2567081383405565,-0.282093760608992,0.1630183728156564,-0.3486690067007312,-0.006372989534403873
102.0,103.0,2.701120853,4.0,1.0,97.0,80.0,293.0,93.0,13.0,5.710768117557951,22.0,164.0,0.036222024870029595,-0.21007595741266727,0.057865972033161704,0.3236401157632658,-0.008079210891597704
130.0,113.0,5.314698935,5.0,1.0,1.0,36.0,359.0,29.0,-7.0,-6.146137948083744,-52.0,2.0,1.9091538107044552,-0.24773126463878645,0.11347746977814674,-1.3078266109021641,-0.009862734139482094
90.0,115.0,3.787733078,6.0,1.0,22.0,142.0,313.0,143.0,1.0,-8.547901719493563,-52.0,69.0,0.4798520696789827,-0.24773126463878645,0.09142939728057642,0.009991012352888073,-0.011741028412266305
80.0,93.0,1.967544079,7.0,1.0,293.0,35.0,324.0,25.0,-10.0,-9.1033186494636,45.0,-31.0,0.7473545030335526,-0.931050740124976,0.18258639146766456,-1.973863342669002,-0.013732687162743876
36.0,29.0,2.166476965,8.0,1.0,359.0,68.0,99.0,46.0,-22.0,-23.940958759105666,-32.0,-100.0,2.133617966395695,-0.6089781609488069,0.2253785472325372,0.08280839419255456,-0.015857638703547464
142.0,143.0,1.6669549940000001,9.0,1.0,313.0,9.0,112.0,1.0,-8.0,-8.457211415172207,-13.0,-159.0,1.1088626146378804,-0.9063203574620174,0.19451439796692285,-0.13616197432749558,-0.01813736660952486
35.0,25.0,2.967221975,10.0,1.0,324.0,93.0,302.0,110.0,17.0,6.526597305689155,-58.0,22.0,2.1624126784049293,-1.0097932563210725,0.2590299933876484,-0.01864681356167718,-0.02059514071568653
68.0,46.0,1.3721210959999999,11.0,1.0,99.0,11.0,54.0,9.0,-2.0,-2.456445517751785,57.0,45.0,2.158530513398173,-1.0890131943970496,0.28540492931198974,-0.16290034648164176,-0.023256259095435296
9.0,1.0,3.0831089019999998,12.0,1.0,112.0,101.0,233.0,105.0,4.0,-2.45685843177149,54.0,-121.0,1.4953766556112786,-0.521122067524651,0.09606634618201561,0.867734408912447,-0.026148300959273837
93.0,110.0,5.666539192,13.0,1.0,302.0,124.0,25.0,113.0,-11.0,0.036345895884768,-31.0,-83.0,0.10662578824972804,-0.4318586259058798,0.07237664635083638,2.8099386058131692,-0.029301389856393627
11.0,9.0,4.648397923,14.0,1.0,54.0,137.0,297.0,140.0,3.0,-2.3382088132556866,20.0,117.0,0.8647944870086943,-0.39355999921692825,0.11673272692454133,0.43069553107853475,-0.03274846587006285
