stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
119.0,127.0,2.1025819778442383,1.0,1.0,129.0,90.0,332.0,92.0,2.0,-8.187945760951823,29.0,157.0,2.13939511637367,4.271753585977366,-0.005320766459097954,-0.5848654579385919,-0.01480970385246679
90.0,92.0,3.0992467403411865,2.0,1.0,332.0,31.0,120.0,53.0,22.0,10.578409444182181,59.0,-148.0,9.749758382385242,5.525207844682988,0.07210185479312323,-5.089457763332488,-0.022377159623686898
31.0,53.0,5.473381996154785,3.0,1.0,120.0,143.0,316.0,147.0,4.0,-1.1504645205834443,34.0,164.0,2.239592586064618,4.995504971817101,0.7655715876065167,-3.63607288018077,-0.030141716767735516
143.0,147.0,3.8422348499298096,4.0,1.0,316.0,48.0,169.0,52.0,4.0,-0.5568512969438082,-51.0,147.0,6.090014191698865,4.428861041960036,0.23326466647786154,0.2661056612462062,-0.03817238496981808
48.0,52.0,4.3530189990997314,5.0,1.0,169.0,4.0,318.0,38.0,34.0,30.397271551449702,44.0,-149.0,1.9817187362436666,3.853936016553833,-0.5440822870955194,-1.8307353337984413,-0.04654103924980168
4.0,38.0,4.599388837814331,6.0,1.0,318.0,118.0,133.0,94.0,-24.0,-21.467397273231644,32.0,-175.0,8.741055874287834,5.592787008562078,0.632056338836057,-0.46448367723721645,-0.05532317142968844
118.0,94.0,3.302850246429444,7.0,1.0,133.0,94.0,44.0,103.0,9.0,-2.0193775566428833,24.0,89.0,4.132150106321071,5.535132072751885,0.10471245092346886,-2.967796562251968,-0.06459866351792143
94.0,103.0,2.7552530765533447,8.0,1.0,44.0,145.0,130.0,113.0,-32.0,-39.65135340074083,-51.0,-86.0,-3.8090458976997366,4.96736855828567,-0.37379758940762087,-0.21410715542225106,-0.0744525857915669
145.0,113.0,9.902224302291868,9.0,1.0,130.0,77.0,90.0,111.0,34.0,31.905744046456345,68.0,40.0,4.886728711626746,3.45341059720651,-0.08318862767104114,-2.9648714621739054,-0.08497602136017296
77.0,111.0,3.3161098957061768,10.0,1.0,90.0,51.0,58.0,48.0,-3.0,-4.637481502075946,26.0,32.0,1.624569128495725,3.0058866598417073,-0.32392301525437434,-1.6943927547643864,-0.09626691772876718
51.0,48.0,4.202094793319701,11.0,1.0,58.0,6.0,89.0,22.0,16.0,9.004534134639496,45.0,-31.0,8.141850445339243,3.025443141815547,0.15832946579823268,-5.754871003725567,-0.10843096429480598
6.0,22.0,4.836860179901123,12.0,1.0,89.0,120.0,61.0,103.0,-17.0,-12.69982876540006,32.0,28.0,-2.88037199844161,0.8238184210144942,-0.04230315355697918,4.236537945414543,-0.12158249276175312
120.0,103.0,1.4832539558410645,13.0,1.0,61.0,30.0,59.0,52.0,22.0,11.194128776423678,-56.0,2.0,-3.5639478281430246,0.3484505377842038,-0.4424098947937959,-1.239446371196669,-0.13584539507209323
30.0,52.0,2.5333919525146484,14.0,1.0,59.0,107.0,108.0,94.0,-13.0,-19.798498016996735,69.0,-49.0,7.113459697892303,-2.2681559943455327,0.32896563318472616,1.7988101792782951,-0.15135405059304904
107.0,94.0,5.01571798324585,15.0,1.0,108.0,67.0,56.0,69.0,2.0,6.0166038944282825,40.0,52.0,5.526881343656301,-1.5322563159255675,0.23448085221025206,-0.39089629622031596,-0.16825425086550871
67.0,69.0,3.3680040836334233,16.0,1.0,56.0,134.0,327.0,122.0,-12.0,-4.478647653007091,-67.0,89.0,6.296358998251173,-1.5424736479809138,1.0461798487416711,-1.9119759160761804,-0.18670410618824054
134.0,122.0,4.980716943740845,17.0,1.0,327.0,103.0,217.0,76.0,-27.0,-36.14430945149705,31.0,110.0,4.130876398899904,-2.1527084183864003,-0.2935790474429701,-4.303638488754274,-0.2068749135979569
103.0,76.0,6.199363708496094,18.0,1.0,217.0,113.0,246.0,138.0,25.0,22.985298673122326,-10.0,-29.0,3.903300644415245,-2.5664014801513058,0.1828336745018608,3.784333940099533,-0.22895196037363916
113.0,138.0,1.4141829013824463,19.0,1.0,246.0,125.0,77.0,104.0,-21.0,-13.06664048241213,-12.0,169.0,6.043661350145237,-2.6742259411260445,0.3731486520712825,-2.4646719689265475,-0.25313523100938207
125.0,104.0,2.720707893371582,20.0,1.0,77.0,129.0,171.0,88.0,-41.0,-31.76574018464247,-4.0,-94.0,3.079402553791281,-3.3846594333530433,0.3532482637326363,0.8443204257953593,-0.2796399786563708
129.0,88.0,2.150593042373657,21.0,1.0,171.0,136.0,86.0,102.0,-34.0,-28.419444512115195,-7.0,85.0,5.514905395136004,-2.827234348674461,0.23837340270942936,2.631697125887353,-0.308697114357113
136.0,102.0,3.129244089126587,22.0,1.0,86.0,97.0,192.0,143.0,46.0,35.03579602272522,39.0,-106.0,6.15811116713046,-2.8361131647964237,0.10636659563608905,3.7748821103925647,-0.3405533590532495
97.0,143.0,7.330280303955077,23.0,1.0,192.0,140.0,4.0,147.0,7.0,6.793167460754841,-43.0,-172.0,6.314466727100298,-2.7025262907241303,0.8906581038671963,1.8942972043864448,-0.3754710944679641
140.0,147.0,4.366734266281128,24.0,1.0,4.0,75.0,138.0,49.0,-26.0,-26.58270557964885,65.0,-134.0,4.165715837168653,-2.812187927161453,-0.09455411174945863,-5.570064048370389,-0.41372783974053684
75.0,49.0,10.782950162887573,25.0,1.0,138.0,3.0,17.0,144.0,-5.0,-4.792443224419397,72.0,121.0,3.9391806295792238,-3.2933488368359223,0.42912331514006574,0.4764486272436372,-0.45561527140312463
3.0,144.0,2.265644073486328,26.0,1.0,17.0,78.0,318.0,108.0,30.0,27.137299710220315,71.0,59.0,-2.5722002660566408,-4.178547564091792,-0.21871120341481765,0.5795605420906284,-0.5014376953155798
78.0,108.0,0.9818978309631348,27.0,1.0,318.0,54.0,239.0,48.0,-6.0,-5.037453162479654,24.0,79.0,10.502148442098736,-3.715230531182421,0.5853612612849763,-3.2160374080630647,-0.5515098710012903
54.0,48.0,3.5983266830444336,28.0,1.0,239.0,76.0,358.0,123.0,47.0,45.66826320396821,-22.0,-119.0,3.1333841673069345,-5.333870769814614,0.2216814181521915,-0.14929666589744592,-0.6061540820660902
76.0,123.0,6.93694806098938,29.0,1.0,358.0,68.0,334.0,69.0,1.0,4.644252915810295,8.0,24.0,1.8933768509253637,-5.733690679563873,0.705057003645117,2.6117637635959694,-0.6656963417725081
68.0,69.0,3.3821418285369877,30.0,1.0,334.0,100.0,180.0,127.0,27.0,16.670718916829866,-32.0,154.0,2.3546091854838327,-5.453180086865015,0.2084595102643117,2.818161524254329,-0.7304616212520534
100.0,127.0,4.965809106826782,31.0,1.0,180.0,53.0,105.0,50.0,-3.0,-2.850976756338344,47.0,75.0,4.735950528487554,-7.677046543735266,0.48232201690078075,-1.498318207134875,-0.800767990260185
53.0,50.0,8.049767971038817,32.0,1.0,105.0,7.0,328.0,49.0,42.0,34.728086475247,46.0,137.0,-1.6101680442898034,-8.085892239262648,0.036529519464336524,-1.8733751883220235,-0.8769195679071163
7.0,49.0,6.9963130950927725,33.0,1.0,328.0,128.0,236.0,111.0,-17.0,-7.904456929576089,25.0,92.0,5.136675550442443,-9.691018939720461,0.18354350178464338,-6.782983699512128,-0.9591981945994158
128.0,111.0,5.316649913787842,34.0,1.0,236.0,12.0,225.0,27.0,15.0,11.438634391101612,-30.0,11.0,3.304356372453759,-11.22827056648415,0.05598085914591682,-2.103117402245678,-1.0478537576929874
12.0,27.0,7.3141236305236825,35.0,1.0,225.0,137.0,76.0,143.0,6.0,10.344910913460136,21.0,149.0,-0.28038091588991937,-11.253424493536462,0.36760148332347403,-2.4510634239897513,-1.1430931332355005
137.0,143.0,5.200577974319458,36.0,1.0,76.0,104.0,249.0,141.0,37.0,28.364746452417204,33.0,-173.0,4.2571475242512475,-10.447140188589758,0.6420601466546049,-4.641269066948331,-1.2450677456859032
104.0,141.0,3.698960304260254,37.0,1.0,249.0,19.0,14.0,19.0,0.0,-1.867152915228548,-61.0,-125.0,7.394071262211136,-9.398481875575216,0.017453671830312007,-4.617846952896573,-1.3538597974280493
19.0,19.0,4.7001051902771,38.0,1.0,14.0,50.0,5.0,57.0,7.0,4.409868935242809,-31.0,9.0,5.47535283360258,-8.392129417820057,0.5974354137963062,5.65111798197259,-1.4694672806776168
50.0,57.0,4.730193853378296,39.0,1.0,5.0,99.0,12.0,96.0,-3.0,-13.603966596741873,-49.0,-7.0,-0.8206784582595495,-6.432875639253857,-0.38398373591084395,-5.079534542609145,-1.59178795595809
99.0,96.0,2.679193019866944,40.0,1.0,12.0,84.0,27.0,141.0,57.0,49.79618261615339,15.0,-15.0,1.774271359031241,-4.288664336729176,0.333122182474529,-5.246637693379799,-1.7206025630001363
84.0,141.0,3.2344021797180176,41.0,1.0,27.0,98.0,198.0,145.0,47.0,36.184019042888636,-14.0,-171.0,3.0526408894845787,-4.8273274012053005,0.263909698369225,-2.495954907152816,-1.8555576202299309
98.0,145.0,6.632272243499756,42.0,1.0,198.0,21.0,98.0,137.0,-30.0,-33.04217133431273,-69.0,100.0,7.581890010435927,-4.8273274012053005,-0.48854662157353057,-6.3725752445359625,-1.9961482655829035
21.0,137.0,3.8303830623626713,43.0,1.0,98.0,80.0,227.0,105.0,25.0,20.611941563464836,-59.0,-129.0,0.21167305460008792,-4.9497326787959,0.4544519705196196,-3.140141959869602,-2.1417016908333646
80.0,105.0,2.9305667877197266,44.0,1.0,227.0,61.0,88.0,67.0,6.0,10.493365410823355,19.0,139.0,4.246762401947066,-4.60540475312764,-0.35734318290313716,-1.8581632683363956,-2.291361819535165
61.0,67.0,4.033314943313599,45.0,1.0,88.0,33.0,245.0,39.0,6.0,-6.301724538108363,28.0,-157.0,6.862990929917766,-2.819837604474751,0.5957732708597044,-1.8909211719249381,-2.4440759695457777
33.0,39.0,3.6325409412384033,46.0,1.0,245.0,69.0,23.0,68.0,-1.0,2.2006960506075863,-36.0,-138.0,2.565683085809907,-3.7485541581734396,-0.09071465726362245,0.010928239459860212,-2.5985843185257314
69.0,68.0,2.6496481895446777,47.0,1.0,23.0,45.0,357.0,54.0,9.0,1.531210395594723,24.0,26.0,9.67846958280932,-4.196398863394216,0.9428848456551459,-1.1081116300926268,-2.7534130475746386
45.0,54.0,2.365839958190918,48.0,1.0,357.0,87.0,14.0,64.0,-23.0,-31.928055108189245,-42.0,-17.0,3.643429213294054,-3.1646291435752736,0.2663860850678638,-4.142330487170442,-2.9068720666288277
87.0,64.0,3.2322471141815186,49.0,1.0,14.0,41.0,81.0,54.0,13.0,2.2845090746881276,46.0,-67.0,7.725054400533802,-2.602936985199315,0.45235909313634726,-1.480204374642205,-3.0570582176974725
