stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
119.0,127.0,4.599388837814331,1.0,1.0,129.0,143.0,316.0,147.0,4.0,-1.586700434441699,-24.0,173.0,8.525699958343862,-2.483355744224964,0.4422108728581735,-0.9174696678677525,0.00011526744265707756
90.0,92.0,3.302850246429444,2.0,1.0,332.0,48.0,169.0,52.0,4.0,-0.6445355869756249,42.0,163.0,-5.9068120397988535,-1.5703615261888637,-0.5261739161442962,0.7962016198805948,0.00017569850385723557
31.0,53.0,2.7552530765533447,3.0,1.0,120.0,4.0,318.0,38.0,34.0,26.186634420410048,27.0,162.0,3.0286768202115715,-1.3015265522873487,0.22015805224873408,-9.820892079354655,0.0002395773143775807
143.0,147.0,9.902224302291868,4.0,1.0,316.0,118.0,133.0,94.0,-24.0,-21.767227947999235,25.0,-177.0,-2.1809970702892616,-1.4837930817995868,-0.3242686383941986,0.061662665204088536,0.0003082081139078587
48.0,52.0,3.3161098957061768,5.0,1.0,169.0,94.0,44.0,103.0,9.0,-2.003700376837404,-46.0,125.0,-1.686639791172547,-3.728436394618136,0.19480559932080363,-2.9292303491550142,0.0003830349615811323
4.0,38.0,4.202094793319701,6.0,1.0,318.0,145.0,130.0,113.0,-32.0,-39.93439650352036,5.0,-172.0,-1.211057554880174,-2.121126305348212,-0.15155585412201633,-3.402937940403667,0.0004656856992894451
118.0,94.0,4.836860179901123,7.0,1.0,133.0,77.0,90.0,111.0,34.0,31.287548791505625,41.0,43.0,1.8458170220069468,-2.2922771237043214,-0.24024695208888794,-8.980041739289563,0.0005580223882246613
94.0,103.0,1.4832539558410645,8.0,1.0,44.0,51.0,58.0,48.0,-3.0,-4.3694734713114975,43.0,-14.0,-9.72551631027549,-2.0631612370047963,-0.6737647981044089,-3.7861956829970027,0.0006621999970399604
145.0,113.0,2.5333919525146484,9.0,1.0,130.0,6.0,89.0,22.0,16.0,5.408968350956453,-7.0,41.0,0.5192122611681699,-1.5114496562955302,-0.1355959217067101,0.2606671562269721,0.0007807354041569801
77.0,111.0,5.01571798324585,10.0,1.0,90.0,120.0,61.0,103.0,-17.0,-12.929255773222057,-43.0,29.0,-3.444780063642088,-2.5717712982181022,-0.397595701850359,-1.9610728780299997,0.0009165891245463141
51.0,48.0,3.3680040836334233,11.0,1.0,58.0,30.0,59.0,52.0,22.0,9.845337774038338,21.0,-1.0,-5.147046188868235,-0.5074330290085775,-0.5039372736862725,-3.089862500609132,0.0010732625895019537
6.0,22.0,4.980716943740845,12.0,1.0,89.0,107.0,108.0,94.0,-13.0,-19.788311221185385,45.0,-19.0,1.759447394895745,-0.5797755844506621,-0.028294003270099264,-3.1388792051878673,0.0012549143033338077
120.0,103.0,6.199363708496094,13.0,1.0,61.0,67.0,56.0,69.0,2.0,6.069646251125842,53.0,5.0,-5.467880339037697,-1.284882987268527,-0.6307816015176244,-4.879012605459954,0.001466498779819561
30.0,52.0,1.4141829013824463,14.0,1.0,59.0,134.0,327.0,122.0,-12.0,-3.7879351906352703,42.0,92.0,-2.3306866351498177,-2.0422969856477384,-0.17786341581543005,-3.577527504226645,0.0017139328285771757
107.0,94.0,2.720707893371582,15.0,1.0,108.0,103.0,217.0,76.0,-27.0,-35.98979755711514,4.0,-109.0,-5.807081624548568,-1.236765547961468,-0.09506476602833655,-0.6263961237771665,0.002004294519459966
67.0,69.0,2.150593042373657,16.0,1.0,56.0,113.0,246.0,138.0,25.0,22.726139362382238,-46.0,170.0,-6.335270245779749,-1.6739987645823389,-0.5516738101913251,-5.591605634159451,0.0023460609994596904
134.0,122.0,3.129244089126587,17.0,1.0,327.0,125.0,77.0,104.0,-21.0,-12.913073034295738,9.0,-110.0,1.9749819898192502,-1.7295815856736168,0.16900993570322645,-1.2564211874787108,0.002749392262554651
103.0,76.0,7.330280303955077,18.0,1.0,217.0,129.0,171.0,88.0,-41.0,-31.23379427923658,-26.0,46.0,-1.2467155567929629,-0.6722508895686943,0.09814045803255246,-2.951419512479358,0.0032264689598763456
113.0,138.0,4.366734266281128,19.0,1.0,246.0,136.0,86.0,102.0,-34.0,-27.862670626121034,-23.0,160.0,3.0671224697727357,-0.6722508895686943,0.009323811716300485,-1.088941072207846,0.003791893353359134
125.0,104.0,10.782950162887573,20.0,1.0,77.0,97.0,192.0,143.0,46.0,35.17297662250951,28.0,-115.0,2.765505256842595,-0.35287618014299166,-0.15341471453256583,-2.1697803307174617,0.004463163510221161
129.0,88.0,2.265644073486328,21.0,1.0,171.0,140.0,4.0,147.0,7.0,6.753869001105723,-11.0,167.0,-3.0569330786515083,-0.9271814411054663,-0.583065483563536,-5.6298974739361505,0.005261231733614798
