stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
13.0,15.0,4.533948183,1.0,1.0,165.0,95.0,306.0,108.0,13.0,-2.136809404891407,64.0,-141.0,-3.5284382085151007,-2.378906267482208,-0.3090936969680946,0.7708087628667016,-0.004485253789609205
139.0,7.0,1.600635052,2.0,1.0,92.0,87.0,320.0,120.0,33.0,21.190727239548124,52.0,132.0,-1.2730919164308934,-2.1314804715095166,-0.018590241507919325,-0.29337232665872154,-0.006777126740862569
95.0,108.0,2.331220865,3.0,1.0,306.0,112.0,341.0,106.0,-6.0,1.6591414546708751,-17.0,-35.0,2.1120609486041713,-2.4718979134928274,0.3390078831888714,0.676770804656163,-0.00912869363928692
87.0,120.0,1.733696938,4.0,1.0,320.0,58.0,0.0,47.0,-11.0,-4.028147943429955,29.0,-40.0,-1.5741301313084324,-2.237196194648923,-0.11269310702586766,-0.488382203818269,-0.011560854697010736
112.0,106.0,1.07020402,5.0,1.0,341.0,108.0,114.0,99.0,-9.0,-7.93039986743605,4.0,-133.0,2.1148253797814656,-2.237196194648923,0.07644884957855783,0.7692589019203521,-0.014095377918879813
58.0,47.0,3.319591045,6.0,1.0,0.0,96.0,242.0,107.0,11.0,-3.7612442157712263,-38.0,118.0,1.6819212999287243,-3.1535519881439167,0.03807467461511964,0.9511392313753375,-0.01675512669123052
108.0,99.0,1.236195087,7.0,1.0,114.0,99.0,141.0,107.0,8.0,-4.54881325269224,9.0,-27.0,-1.2689032226181811,-3.7983131465917217,0.0715723923221117,-4.540078248686758,-0.019564294008375598
96.0,107.0,3.2693901060000004,8.0,1.0,242.0,72.0,227.0,78.0,6.0,12.999840232089612,24.0,15.0,1.7696542915874878,-3.932312830561175,0.05507306395399368,-1.5449425852977563,-0.022548644179066827
99.0,107.0,2.447034836,9.0,1.0,141.0,107.0,53.0,106.0,-1.0,-1.6877978707577181,-8.0,88.0,2.1012547175768272,-3.5760507296109694,0.19537992600061477,-1.502282456101514,-0.02573576255317486
72.0,78.0,2.786836863,10.0,1.0,227.0,41.0,266.0,45.0,4.0,1.2028077664061971,31.0,-39.0,0.351769566390139,-2.95438287898079,-0.025485465866233976,0.03965316031537367,-0.029155313425304228
107.0,106.0,3.372159004,11.0,1.0,53.0,21.0,208.0,16.0,-5.0,-1.6296356127641527,-60.0,-155.0,-4.403357611741925,-2.19420341860038,-0.26705305066446694,1.600846716479405,-0.03283930579274211
41.0,45.0,1.42119503,12.0,1.0,266.0,90.0,248.0,120.0,30.0,15.723336361380719,-49.0,18.0,0.6761997171095361,-1.6060004981272433,0.020336603995901807,1.5595103181499002,-0.03682236605391706
21.0,16.0,3.69885397,13.0,1.0,208.0,28.0,345.0,14.0,-14.0,-11.649169778072105,-7.0,-137.0,2.2040965470285485,-1.948783679273903,0.025317839102985136,1.3267922139534094,-0.041142016012778296
90.0,120.0,1.250139952,14.0,1.0,248.0,119.0,300.0,96.0,-23.0,-8.95763683781996,-29.0,-52.0,4.246358058562505,-2.869630991607919,0.3169818977132556,-0.6704989864563374,-0.04583895368544053
28.0,14.0,4.146243095,15.0,1.0,345.0,93.0,235.0,50.0,-43.0,-58.33053246276697,-65.0,110.0,-4.676550182713699,-3.1813508122327305,-0.3687597990575948,0.9170823602163815,-0.050957333368825075
