block,exp_event,task,timestamp,trial
1,Adjust Task begins for trial 69 in block 1,Adjust task,1575397994.061648,69
1,Adjust Task ends for trial 69 in block 1,,1575397995.6615949,69
1,Ending trial 69 in block 1,End trial,1575397995.677919,69
1,Begin for trial 70 in block 1,Trial begins,1575397995.6790771,70
1,Fixation dot begins for trial 70 in block 1,Fixation dot,1575397995.679233,70
1,Image onset for trial 70 in block 1,Image onset,1575397996.620599,70
1,Adjust Task begins for trial 70 in block 1,Adjust task,1575397998.159988,70
1,Adjust Task ends for trial 70 in block 1,,1575397999.0948648,70
1,Ending trial 70 in block 1,End trial,1575397999.111459,70
1,Begin for trial 71 in block 1,Trial begins,1575397999.1124659,71
1,Fixation dot begins for trial 71 in block 1,Fixation dot,1575397999.112555,71
1,Image onset for trial 71 in block 1,Image onset,1575398000.184892,71
1,Adjust Task begins for trial 71 in block 1,Adjust task,1575398001.726858,71
1,Adjust Task ends for trial 71 in block 1,,1575398006.677815,71
1,Ending trial 71 in block 1,End trial,1575398006.6947079,71
1,Begin for trial 72 in block 1,Trial begins,1575398006.695785,72
1,Fixation dot begins for trial 72 in block 1,Fixation dot,1575398006.6959171,72
1,Image onset for trial 72 in block 1,Image onset,1575398007.748422,72
1,Adjust Task begins for trial 72 in block 1,Adjust task,1575398009.294645,72
1,Adjust Task ends for trial 72 in block 1,,1575398009.9950988,72
1,Ending trial 72 in block 1,End trial,1575398010.011791,72
1,Begin for trial 73 in block 1,Trial begins,1575398010.013043,73
1,Fixation dot begins for trial 73 in block 1,Fixation dot,1575398010.01317,73
1,Image onset for trial 73 in block 1,Image onset,1575398011.014475,73
1,Adjust Task begins for trial 73 in block 1,Adjust task,1575398012.777079,73
1,Adjust Task ends for trial 73 in block 1,,1575398013.4781802,73
1,Ending trial 73 in block 1,End trial,1575398013.495002,73
1,Begin for trial 74 in block 1,Trial begins,1575398013.496126,74
1,Fixation dot begins for trial 74 in block 1,Fixation dot,1575398013.496257,74
1,Image onset for trial 74 in block 1,Image onset,1575398014.586593,74
1,Adjust Task begins for trial 74 in block 1,Adjust task,1575398016.1611662,74
1,Adjust Task ends for trial 74 in block 1,,1575398018.1617,74
1,Ending trial 74 in block 1,End trial,1575398018.178785,74
1,Begin for trial 75 in block 1,Trial begins,1575398018.179654,75
1,Fixation dot begins for trial 75 in block 1,Fixation dot,1575398018.179753,75
1,Image onset for trial 75 in block 1,Image onset,1575398019.465796,75
1,Adjust Task begins for trial 75 in block 1,Adjust task,1575398021.078197,75
1,Adjust Task ends for trial 75 in block 1,,1575398024.678242,75
1,Ending trial 75 in block 1,End trial,1575398024.695429,75
1,Begin for trial 76 in block 1,Trial begins,1575398024.69661,76
1,Fixation dot begins for trial 76 in block 1,Fixation dot,1575398024.696903,76
1,Image onset for trial 76 in block 1,Image onset,1575398026.0178869,76
1,Adjust Task begins for trial 76 in block 1,Adjust task,1575398027.6312041,76
1,Adjust Task ends for trial 76 in block 1,,1575398028.628173,76
1,Ending trial 76 in block 1,End trial,1575398028.645486,76
1,Begin for trial 77 in block 1,Trial begins,1575398028.6466482,77
1,Fixation dot begins for trial 77 in block 1,Fixation dot,1575398028.6468391,77
1,Image onset for trial 77 in block 1,Image onset,1575398030.739435,77
1,Adjust Task begins for trial 77 in block 1,Adjust task,1575398032.3439202,77
1,Adjust Task ends for trial 77 in block 1,,1575398035.12836,77
1,Ending trial 77 in block 1,End trial,1575398035.145039,77
1,Begin for trial 78 in block 1,Trial begins,1575398035.146056,78
1,Fixation dot begins for trial 78 in block 1,Fixation dot,1575398035.146188,78
1,Image onset for trial 78 in block 1,Image onset,1575398036.4141922,78
1,Adjust Task begins for trial 78 in block 1,Adjust task,1575398037.961996,78
1,Adjust Task ends for trial 78 in block 1,,1575398039.478518,78
1,Ending trial 78 in block 1,End trial,1575398039.495191,78
1,Begin for trial 79 in block 1,Trial begins,1575398039.4961028,79
1,Fixation dot begins for trial 79 in block 1,Fixation dot,1575398039.496225,79
1,Image onset for trial 79 in block 1,Image onset,1575398040.946569,79
1,Adjust Task begins for trial 79 in block 1,Adjust task,1575398042.493941,79
1,Adjust Task ends for trial 79 in block 1,,1575398046.561444,79
1,Ending trial 79 in block 1,End trial,1575398046.5789702,79
1,Begin for trial 80 in block 1,Trial begins,1575398046.5807638,80
1,Fixation dot begins for trial 80 in block 1,Fixation dot,1575398046.581064,80
1,Image onset for trial 80 in block 1,Image onset,1575398047.53998,80
1,Adjust Task begins for trial 80 in block 1,Adjust task,1575398049.0954518,80
1,Adjust Task ends for trial 80 in block 1,,1575398050.578846,80
1,Ending trial 80 in block 1,End trial,1575398050.595574,80
1,Begin for trial 81 in block 1,Trial begins,1575398050.596731,81
1,Fixation dot begins for trial 81 in block 1,Fixation dot,1575398050.596858,81
1,Image onset for trial 81 in block 1,Image onset,1575398052.159713,81
1,Adjust Task begins for trial 81 in block 1,Adjust task,1575398053.710654,81
1,Adjust Task ends for trial 81 in block 1,,1575398056.213299,81
1,Ending trial 81 in block 1,End trial,1575398056.2287202,81
1,Begin for trial 82 in block 1,Trial begins,1575398056.22991,82
1,Fixation dot begins for trial 82 in block 1,Fixation dot,1575398056.2300649,82
1,Image onset for trial 82 in block 1,Image onset,1575398057.1964831,82
1,Adjust Task begins for trial 82 in block 1,Adjust task,1575398058.745058,82
1,Adjust Task ends for trial 82 in block 1,,1575398060.213701,82
1,Ending trial 82 in block 1,End trial,1575398060.229096,82
1,Begin for trial 83 in block 1,Trial begins,1575398060.230051,83
1,Fixation dot begins for trial 83 in block 1,Fixation dot,1575398060.230159,83
1,Image onset for trial 83 in block 1,Image onset,1575398061.8982458,83
1,Adjust Task begins for trial 83 in block 1,Adjust task,1575398063.461628,83
1,Adjust Task ends for trial 83 in block 1,,1575398066.912179,83
1,Ending trial 83 in block 1,End trial,1575398066.929434,83
1,Begin for trial 84 in block 1,Trial begins,1575398066.930401,84
1,Fixation dot begins for trial 84 in block 1,Fixation dot,1575398066.930486,84
1,Image onset for trial 84 in block 1,Image onset,1575398068.011107,84
1,Adjust Task begins for trial 84 in block 1,Adjust task,1575398069.562241,84
1,Adjust Task ends for trial 84 in block 1,,1575398070.1793668,84
1,Ending trial 84 in block 1,End trial,1575398070.195359,84
1,Begin for trial 85 in block 1,Trial begins,1575398070.1964428,85
1,Fixation dot begins for trial 85 in block 1,Fixation dot,1575398070.196527,85
1,Image onset for trial 85 in block 1,Image onset,1575398071.844213,85
1,Adjust Task begins for trial 85 in block 1,Adjust task,1575398073.378145,85
1,Adjust Task ends for trial 85 in block 1,,1575398074.0796201,85
1,Ending trial 85 in block 1,End trial,1575398074.095037,85
1,Block 1 Ends,,1575398074.231633,
2,Block 2 Begins,Block begins,1575398087.930578,
2,Begin for trial 1 in block 2,Trial begins,1575398087.961746,1
2,Fixation dot begins for trial 1 in block 2,Fixation dot,1575398087.9619079,1
2,Image onset for trial 1 in block 2,Image onset,1575398089.169106,1
2,Adjust Task begins for trial 1 in block 2,Adjust task,1575398090.812271,1
2,Adjust Task ends for trial 1 in block 2,,1575398096.648776,1
2,Ending trial 1 in block 2,End trial,1575398096.662702,1
2,Begin for trial 2 in block 2,Trial begins,1575398096.663727,2
2,Fixation dot begins for trial 2 in block 2,Fixation dot,1575398096.663886,2
2,Image onset for trial 2 in block 2,Image onset,1575398097.467864,2
2,Adjust Task begins for trial 2 in block 2,Adjust task,1575398099.046114,2
2,Adjust Task ends for trial 2 in block 2,,1575398101.6790771,2
2,Ending trial 2 in block 2,End trial,1575398101.696231,2
2,Begin for trial 3 in block 2,Trial begins,1575398101.69721,3
2,Fixation dot begins for trial 3 in block 2,Fixation dot,1575398101.697319,3
2,Image onset for trial 3 in block 2,Image onset,1575398102.918587,3
2,Adjust Task begins for trial 3 in block 2,Adjust task,1575398104.478982,3
2,Adjust Task ends for trial 3 in block 2,,1575398105.14513,3
2,Ending trial 3 in block 2,End trial,1575398105.164481,3
2,Begin for trial 4 in block 2,Trial begins,1575398105.165907,4
2,Fixation dot begins for trial 4 in block 2,Fixation dot,1575398105.1660411,4
2,Image onset for trial 4 in block 2,Image onset,1575398107.3215082,4
2,Adjust Task begins for trial 4 in block 2,Adjust task,1575398108.912385,4
2,Adjust Task ends for trial 4 in block 2,,1575398111.0294452,4
2,Ending trial 4 in block 2,End trial,1575398111.046926,4
2,Begin for trial 5 in block 2,Trial begins,1575398111.0477881,5
2,Fixation dot begins for trial 5 in block 2,Fixation dot,1575398111.047903,5
2,Image onset for trial 5 in block 2,Image onset,1575398112.1300101,5
2,Adjust Task begins for trial 5 in block 2,Adjust task,1575398113.695424,5
2,Adjust Task ends for trial 5 in block 2,,1575398115.163376,5
2,Ending trial 5 in block 2,End trial,1575398115.180223,5
2,Begin for trial 6 in block 2,Trial begins,1575398115.181746,6
2,Fixation dot begins for trial 6 in block 2,Fixation dot,1575398115.1819258,6
2,Image onset for trial 6 in block 2,Image onset,1575398116.303724,6
2,Adjust Task begins for trial 6 in block 2,Adjust task,1575398117.84631,6
2,Adjust Task ends for trial 6 in block 2,,1575398121.230356,6
2,Ending trial 6 in block 2,End trial,1575398121.250626,6
2,Begin for trial 7 in block 2,Trial begins,1575398121.251559,7
2,Fixation dot begins for trial 7 in block 2,Fixation dot,1575398121.2516952,7
2,Image onset for trial 7 in block 2,Image onset,1575398122.612374,7
2,Adjust Task begins for trial 7 in block 2,Adjust task,1575398124.1632268,7
2,Adjust Task ends for trial 7 in block 2,,1575398126.3134851,7
2,Ending trial 7 in block 2,End trial,1575398126.3305678,7
2,Begin for trial 8 in block 2,Trial begins,1575398126.3317409,8
2,Fixation dot begins for trial 8 in block 2,Fixation dot,1575398126.331875,8
2,Image onset for trial 8 in block 2,Image onset,1575398127.495303,8
2,Adjust Task begins for trial 8 in block 2,Adjust task,1575398129.045841,8
2,Adjust Task ends for trial 8 in block 2,,1575398129.697152,8
2,Ending trial 8 in block 2,End trial,1575398129.713032,8
2,Begin for trial 9 in block 2,Trial begins,1575398129.7140229,9
2,Fixation dot begins for trial 9 in block 2,Fixation dot,1575398129.714112,9
2,Image onset for trial 9 in block 2,Image onset,1575398131.296104,9
2,Adjust Task begins for trial 9 in block 2,Adjust task,1575398133.113662,9
2,Adjust Task ends for trial 9 in block 2,,1575398135.212905,9
2,Ending trial 9 in block 2,End trial,1575398135.2300858,9
2,Begin for trial 10 in block 2,Trial begins,1575398135.2312808,10
2,Fixation dot begins for trial 10 in block 2,Fixation dot,1575398135.231415,10
2,Image onset for trial 10 in block 2,Image onset,1575398136.0529869,10
2,Adjust Task begins for trial 10 in block 2,Adjust task,1575398137.598471,10
2,Adjust Task ends for trial 10 in block 2,,1575398139.7833579,10
2,Ending trial 10 in block 2,End trial,1575398139.796664,10
2,Begin for trial 11 in block 2,Trial begins,1575398139.798072,11
2,Fixation dot begins for trial 11 in block 2,Fixation dot,1575398139.798222,11
2,Image onset for trial 11 in block 2,Image onset,1575398141.085978,11
2,Adjust Task begins for trial 11 in block 2,Adjust task,1575398142.64718,11
2,Adjust Task ends for trial 11 in block 2,,1575398144.700979,11
2,Ending trial 11 in block 2,End trial,1575398144.713085,11
2,Begin for trial 12 in block 2,Trial begins,1575398144.7138271,12
2,Fixation dot begins for trial 12 in block 2,Fixation dot,1575398144.713952,12
2,Image onset for trial 12 in block 2,Image onset,1575398145.612096,12
2,Adjust Task begins for trial 12 in block 2,Adjust task,1575398147.163967,12
2,Adjust Task ends for trial 12 in block 2,,1575398149.246714,12
2,Ending trial 12 in block 2,End trial,1575398149.264746,12
2,Begin for trial 13 in block 2,Trial begins,1575398149.265753,13
2,Fixation dot begins for trial 13 in block 2,Fixation dot,1575398149.265908,13
2,Image onset for trial 13 in block 2,Image onset,1575398150.736282,13
2,Adjust Task begins for trial 13 in block 2,Adjust task,1575398152.2806542,13
2,Adjust Task ends for trial 13 in block 2,,1575398153.3311281,13
2,Ending trial 13 in block 2,End trial,1575398153.3475351,13
2,Begin for trial 14 in block 2,Trial begins,1575398153.348583,14
2,Fixation dot begins for trial 14 in block 2,Fixation dot,1575398153.348767,14
2,Image onset for trial 14 in block 2,Image onset,1575398154.4603782,14
2,Adjust Task begins for trial 14 in block 2,Adjust task,1575398155.99615,14
2,Adjust Task ends for trial 14 in block 2,,1575398163.197686,14
2,Ending trial 14 in block 2,End trial,1575398163.215184,14
2,Begin for trial 15 in block 2,Trial begins,1575398163.216393,15
2,Fixation dot begins for trial 15 in block 2,Fixation dot,1575398163.216598,15
2,Image onset for trial 15 in block 2,Image onset,1575398164.527883,15
2,Adjust Task begins for trial 15 in block 2,Adjust task,1575398166.082506,15
2,Adjust Task ends for trial 15 in block 2,,1575398166.780701,15
2,Ending trial 15 in block 2,End trial,1575398166.798584,15
2,Begin for trial 16 in block 2,Trial begins,1575398166.799479,16
2,Fixation dot begins for trial 16 in block 2,Fixation dot,1575398166.7995489,16
2,Image onset for trial 16 in block 2,Image onset,1575398168.0063381,16
2,Adjust Task begins for trial 16 in block 2,Adjust task,1575398169.562995,16
2,Adjust Task ends for trial 16 in block 2,,1575398172.129659,16
2,Ending trial 16 in block 2,End trial,1575398172.1471539,16
2,Begin for trial 17 in block 2,Trial begins,1575398172.148926,17
2,Fixation dot begins for trial 17 in block 2,Fixation dot,1575398172.1490781,17
2,Image onset for trial 17 in block 2,Image onset,1575398173.158654,17
2,Adjust Task begins for trial 17 in block 2,Adjust task,1575398174.682324,17
2,Adjust Task ends for trial 17 in block 2,,1575398175.847399,17
2,Ending trial 17 in block 2,End trial,1575398175.8640041,17
2,Begin for trial 18 in block 2,Trial begins,1575398175.865292,18
2,Fixation dot begins for trial 18 in block 2,Fixation dot,1575398175.865539,18
2,Image onset for trial 18 in block 2,Image onset,1575398176.951255,18
2,Adjust Task begins for trial 18 in block 2,Adjust task,1575398178.5298078,18
2,Adjust Task ends for trial 18 in block 2,,1575398182.364635,18
2,Ending trial 18 in block 2,End trial,1575398182.380646,18
2,Begin for trial 19 in block 2,Trial begins,1575398182.3816278,19
2,Fixation dot begins for trial 19 in block 2,Fixation dot,1575398182.381715,19
2,Image onset for trial 19 in block 2,Image onset,1575398183.835267,19
2,Adjust Task begins for trial 19 in block 2,Adjust task,1575398185.3799932,19
2,Adjust Task ends for trial 19 in block 2,,1575398185.997777,19
2,Ending trial 19 in block 2,End trial,1575398186.0134149,19
2,Begin for trial 20 in block 2,Trial begins,1575398186.014295,20
2,Fixation dot begins for trial 20 in block 2,Fixation dot,1575398186.014365,20
2,Image onset for trial 20 in block 2,Image onset,1575398186.872648,20
2,Adjust Task begins for trial 20 in block 2,Adjust task,1575398188.4145632,20
2,Adjust Task ends for trial 20 in block 2,,1575398189.081391,20
2,Ending trial 20 in block 2,End trial,1575398189.097693,20
2,Begin for trial 21 in block 2,Trial begins,1575398189.0988538,21
2,Fixation dot begins for trial 21 in block 2,Fixation dot,1575398189.099104,21
2,Image onset for trial 21 in block 2,Image onset,1575398190.512766,21
2,Adjust Task begins for trial 21 in block 2,Adjust task,1575398192.2810712,21
2,Adjust Task ends for trial 21 in block 2,,1575398192.997858,21
2,Ending trial 21 in block 2,End trial,1575398193.0140312,21
2,Begin for trial 22 in block 2,Trial begins,1575398193.015043,22
2,Fixation dot begins for trial 22 in block 2,Fixation dot,1575398193.015174,22
2,Image onset for trial 22 in block 2,Image onset,1575398193.864589,22
2,Adjust Task begins for trial 22 in block 2,Adjust task,1575398195.41436,22
2,Adjust Task ends for trial 22 in block 2,,1575398196.830487,22
2,Ending trial 22 in block 2,End trial,1575398196.8503869,22
2,Begin for trial 23 in block 2,Trial begins,1575398196.851264,23
2,Fixation dot begins for trial 23 in block 2,Fixation dot,1575398196.8513842,23
2,Image onset for trial 23 in block 2,Image onset,1575398197.450557,23
2,Adjust Task begins for trial 23 in block 2,Adjust task,1575398198.980625,23
2,Adjust Task ends for trial 23 in block 2,,1575398199.8136299,23
2,Ending trial 23 in block 2,End trial,1575398199.8329878,23
2,Begin for trial 24 in block 2,Trial begins,1575398199.8340008,24
2,Fixation dot begins for trial 24 in block 2,Fixation dot,1575398199.8341398,24
2,Image onset for trial 24 in block 2,Image onset,1575398200.602738,24
2,Adjust Task begins for trial 24 in block 2,Adjust task,1575398202.148243,24
2,Adjust Task ends for trial 24 in block 2,,1575398202.785283,24
2,Ending trial 24 in block 2,End trial,1575398202.797621,24
2,Begin for trial 25 in block 2,Trial begins,1575398202.798539,25
2,Fixation dot begins for trial 25 in block 2,Fixation dot,1575398202.798656,25
2,Image onset for trial 25 in block 2,Image onset,1575398203.662951,25
2,Adjust Task begins for trial 25 in block 2,Adjust task,1575398205.214897,25
2,Adjust Task ends for trial 25 in block 2,,1575398207.081312,25
2,Ending trial 25 in block 2,End trial,1575398207.101554,25
2,Begin for trial 26 in block 2,Trial begins,1575398207.1029341,26
2,Fixation dot begins for trial 26 in block 2,Fixation dot,1575398207.1031702,26
2,Image onset for trial 26 in block 2,Image onset,1575398208.473691,26
2,Adjust Task begins for trial 26 in block 2,Adjust task,1575398210.048015,26
2,Adjust Task ends for trial 26 in block 2,,1575398212.432147,26
2,Ending trial 26 in block 2,End trial,1575398212.448332,26
2,Begin for trial 27 in block 2,Trial begins,1575398212.449389,27
2,Fixation dot begins for trial 27 in block 2,Fixation dot,1575398212.449526,27
2,Image onset for trial 27 in block 2,Image onset,1575398214.074152,27
2,Adjust Task begins for trial 27 in block 2,Adjust task,1575398215.663286,27
2,Adjust Task ends for trial 27 in block 2,,1575398216.264447,27
2,Ending trial 27 in block 2,End trial,1575398216.284812,27
2,Begin for trial 28 in block 2,Trial begins,1575398216.2860641,28
2,Fixation dot begins for trial 28 in block 2,Fixation dot,1575398216.286291,28
2,Image onset for trial 28 in block 2,Image onset,1575398217.424698,28
2,Adjust Task begins for trial 28 in block 2,Adjust task,1575398218.964427,28
2,Adjust Task ends for trial 28 in block 2,,1575398219.58146,28
2,Ending trial 28 in block 2,End trial,1575398219.601332,28
2,Begin for trial 29 in block 2,Trial begins,1575398219.602533,29
2,Fixation dot begins for trial 29 in block 2,Fixation dot,1575398219.6026251,29
2,Image onset for trial 29 in block 2,Image onset,1575398220.615189,29
2,Adjust Task begins for trial 29 in block 2,Adjust task,1575398222.165198,29
2,Adjust Task ends for trial 29 in block 2,,1575398223.832117,29
2,Ending trial 29 in block 2,End trial,1575398223.848466,29
2,Begin for trial 30 in block 2,Trial begins,1575398223.8494961,30
2,Fixation dot begins for trial 30 in block 2,Fixation dot,1575398223.84957,30
2,Image onset for trial 30 in block 2,Image onset,1575398225.0171719,30
2,Adjust Task begins for trial 30 in block 2,Adjust task,1575398226.58195,30
2,Adjust Task ends for trial 30 in block 2,,1575398229.798881,30
2,Ending trial 30 in block 2,End trial,1575398229.8151438,30
2,Begin for trial 31 in block 2,Trial begins,1575398229.815938,31
2,Fixation dot begins for trial 31 in block 2,Fixation dot,1575398229.8160262,31
2,Image onset for trial 31 in block 2,Image onset,1575398230.7258492,31
2,Adjust Task begins for trial 31 in block 2,Adjust task,1575398232.265045,31
2,Adjust Task ends for trial 31 in block 2,,1575398232.897896,31
2,Ending trial 31 in block 2,End trial,1575398232.915092,31
2,Begin for trial 32 in block 2,Trial begins,1575398232.9161339,32
2,Fixation dot begins for trial 32 in block 2,Fixation dot,1575398232.9162161,32
2,Image onset for trial 32 in block 2,Image onset,1575398234.124085,32
2,Adjust Task begins for trial 32 in block 2,Adjust task,1575398235.66482,32
2,Adjust Task ends for trial 32 in block 2,,1575398236.231689,32
2,Ending trial 32 in block 2,End trial,1575398236.247937,32
2,Begin for trial 33 in block 2,Trial begins,1575398236.248812,33
2,Fixation dot begins for trial 33 in block 2,Fixation dot,1575398236.2489321,33
2,Image onset for trial 33 in block 2,Image onset,1575398237.047754,33
2,Adjust Task begins for trial 33 in block 2,Adjust task,1575398238.581568,33
2,Adjust Task ends for trial 33 in block 2,,1575398240.0806882,33
2,Ending trial 33 in block 2,End trial,1575398240.098542,33
2,Begin for trial 34 in block 2,Trial begins,1575398240.0995488,34
2,Fixation dot begins for trial 34 in block 2,Fixation dot,1575398240.099638,34
2,Image onset for trial 34 in block 2,Image onset,1575398241.418499,34
2,Adjust Task begins for trial 34 in block 2,Adjust task,1575398242.998731,34
2,Adjust Task ends for trial 34 in block 2,,1575398244.6146472,34
2,Ending trial 34 in block 2,End trial,1575398244.6323872,34
2,Begin for trial 35 in block 2,Trial begins,1575398244.633281,35
2,Fixation dot begins for trial 35 in block 2,Fixation dot,1575398244.633395,35
2,Image onset for trial 35 in block 2,Image onset,1575398245.3590488,35
2,Adjust Task begins for trial 35 in block 2,Adjust task,1575398246.898418,35
2,Adjust Task ends for trial 35 in block 2,,1575398260.7816699,35
2,Ending trial 35 in block 2,End trial,1575398260.799689,35
2,Begin for trial 36 in block 2,Trial begins,1575398260.800815,36
2,Fixation dot begins for trial 36 in block 2,Fixation dot,1575398260.8009841,36
2,Image onset for trial 36 in block 2,Image onset,1575398261.815627,36
2,Adjust Task begins for trial 36 in block 2,Adjust task,1575398263.3827431,36
2,Adjust Task ends for trial 36 in block 2,,1575398265.01524,36
2,Ending trial 36 in block 2,End trial,1575398265.033101,36
2,Begin for trial 37 in block 2,Trial begins,1575398265.033974,37
2,Fixation dot begins for trial 37 in block 2,Fixation dot,1575398265.034087,37
2,Image onset for trial 37 in block 2,Image onset,1575398265.861115,37
2,Adjust Task begins for trial 37 in block 2,Adjust task,1575398267.414827,37
2,Adjust Task ends for trial 37 in block 2,,1575398270.765982,37
2,Ending trial 37 in block 2,End trial,1575398270.78237,37
2,Begin for trial 38 in block 2,Trial begins,1575398270.783746,38
2,Fixation dot begins for trial 38 in block 2,Fixation dot,1575398270.78389,38
2,Image onset for trial 38 in block 2,Image onset,1575398272.06019,38
2,Adjust Task begins for trial 38 in block 2,Adjust task,1575398273.632319,38
2,Adjust Task ends for trial 38 in block 2,,1575398275.54923,38
2,Ending trial 38 in block 2,End trial,1575398275.566686,38
2,Begin for trial 39 in block 2,Trial begins,1575398275.568116,39
2,Fixation dot begins for trial 39 in block 2,Fixation dot,1575398275.5682619,39
2,Image onset for trial 39 in block 2,Image onset,1575398277.181771,39
2,Adjust Task begins for trial 39 in block 2,Adjust task,1575398278.75008,39
2,Adjust Task ends for trial 39 in block 2,,1575398279.314919,39
2,Ending trial 39 in block 2,End trial,1575398279.3327308,39
2,Begin for trial 40 in block 2,Trial begins,1575398279.3337579,40
2,Fixation dot begins for trial 40 in block 2,Fixation dot,1575398279.333846,40
2,Image onset for trial 40 in block 2,Image onset,1575398280.656676,40
2,Adjust Task begins for trial 40 in block 2,Adjust task,1575398282.199291,40
2,Adjust Task ends for trial 40 in block 2,,1575398284.299305,40
2,Ending trial 40 in block 2,End trial,1575398284.3166919,40
2,Begin for trial 41 in block 2,Trial begins,1575398284.317562,41
2,Fixation dot begins for trial 41 in block 2,Fixation dot,1575398284.3176892,41
2,Image onset for trial 41 in block 2,Image onset,1575398285.2643058,41
2,Adjust Task begins for trial 41 in block 2,Adjust task,1575398286.815273,41
2,Adjust Task ends for trial 41 in block 2,,1575398289.2819998,41
2,Ending trial 41 in block 2,End trial,1575398289.299766,41
2,Begin for trial 42 in block 2,Trial begins,1575398289.300847,42
2,Fixation dot begins for trial 42 in block 2,Fixation dot,1575398289.300926,42
2,Image onset for trial 42 in block 2,Image onset,1575398290.8680289,42
2,Adjust Task begins for trial 42 in block 2,Adjust task,1575398292.416536,42
2,Adjust Task ends for trial 42 in block 2,,1575398293.715046,42
2,Ending trial 42 in block 2,End trial,1575398293.733252,42
2,Begin for trial 43 in block 2,Trial begins,1575398293.734391,43
2,Fixation dot begins for trial 43 in block 2,Fixation dot,1575398293.734538,43
2,Image onset for trial 43 in block 2,Image onset,1575398295.225228,43
2,Adjust Task begins for trial 43 in block 2,Adjust task,1575398296.7994392,43
2,Adjust Task ends for trial 43 in block 2,,1575398298.649544,43
2,Ending trial 43 in block 2,End trial,1575398298.6665611,43
2,Begin for trial 44 in block 2,Trial begins,1575398298.667706,44
2,Fixation dot begins for trial 44 in block 2,Fixation dot,1575398298.6678872,44
2,Image onset for trial 44 in block 2,Image onset,1575398299.6814778,44
2,Adjust Task begins for trial 44 in block 2,Adjust task,1575398301.248385,44
2,Adjust Task ends for trial 44 in block 2,,1575398301.865912,44
2,Ending trial 44 in block 2,End trial,1575398301.8827362,44
2,Begin for trial 45 in block 2,Trial begins,1575398301.917959,45
2,Fixation dot begins for trial 45 in block 2,Fixation dot,1575398301.9182038,45
2,Image onset for trial 45 in block 2,Image onset,1575398303.171615,45
2,Adjust Task begins for trial 45 in block 2,Adjust task,1575398304.715877,45
2,Adjust Task ends for trial 45 in block 2,,1575398308.099041,45
2,Ending trial 45 in block 2,End trial,1575398308.116838,45
2,Begin for trial 46 in block 2,Trial begins,1575398308.117986,46
2,Fixation dot begins for trial 46 in block 2,Fixation dot,1575398308.118111,46
2,Image onset for trial 46 in block 2,Image onset,1575398309.977822,46
2,Adjust Task begins for trial 46 in block 2,Adjust task,1575398311.5663638,46
2,Adjust Task ends for trial 46 in block 2,,1575398313.9995542,46
2,Ending trial 46 in block 2,End trial,1575398314.016265,46
2,Begin for trial 47 in block 2,Trial begins,1575398314.0173912,47
2,Fixation dot begins for trial 47 in block 2,Fixation dot,1575398314.017513,47
2,Image onset for trial 47 in block 2,Image onset,1575398315.1292028,47
2,Adjust Task begins for trial 47 in block 2,Adjust task,1575398316.682058,47
2,Adjust Task ends for trial 47 in block 2,,1575398317.249673,47
2,Ending trial 47 in block 2,End trial,1575398317.267422,47
2,Begin for trial 48 in block 2,Trial begins,1575398317.268951,48
2,Fixation dot begins for trial 48 in block 2,Fixation dot,1575398317.269147,48
2,Image onset for trial 48 in block 2,Image onset,1575398318.482075,48
2,Adjust Task begins for trial 48 in block 2,Adjust task,1575398320.032044,48
2,Adjust Task ends for trial 48 in block 2,,1575398324.466901,48
2,Ending trial 48 in block 2,End trial,1575398324.483563,48
2,Begin for trial 49 in block 2,Trial begins,1575398324.4846668,49
2,Fixation dot begins for trial 49 in block 2,Fixation dot,1575398324.4848158,49
2,Image onset for trial 49 in block 2,Image onset,1575398326.288067,49
2,Adjust Task begins for trial 49 in block 2,Adjust task,1575398327.85092,49
2,Adjust Task ends for trial 49 in block 2,,1575398329.283011,49
2,Ending trial 49 in block 2,End trial,1575398329.300799,49
2,Begin for trial 50 in block 2,Trial begins,1575398329.301894,50
2,Fixation dot begins for trial 50 in block 2,Fixation dot,1575398329.3020291,50
2,Image onset for trial 50 in block 2,Image onset,1575398330.3109179,50
2,Adjust Task begins for trial 50 in block 2,Adjust task,1575398331.84922,50
2,Adjust Task ends for trial 50 in block 2,,1575398332.432968,50
2,Ending trial 50 in block 2,End trial,1575398332.4503272,50
2,Begin for trial 51 in block 2,Trial begins,1575398332.4513779,51
2,Fixation dot begins for trial 51 in block 2,Fixation dot,1575398332.45161,51
2,Image onset for trial 51 in block 2,Image onset,1575398333.3647768,51
2,Adjust Task begins for trial 51 in block 2,Adjust task,1575398334.916203,51
2,Adjust Task ends for trial 51 in block 2,,1575398335.466135,51
2,Ending trial 51 in block 2,End trial,1575398335.4854422,51
2,Begin for trial 52 in block 2,Trial begins,1575398335.486845,52
2,Fixation dot begins for trial 52 in block 2,Fixation dot,1575398335.487069,52
2,Image onset for trial 52 in block 2,Image onset,1575398336.426913,52
2,Adjust Task begins for trial 52 in block 2,Adjust task,1575398337.98311,52
2,Adjust Task ends for trial 52 in block 2,,1575398338.5363278,52
2,Ending trial 52 in block 2,End trial,1575398338.550078,52
2,Begin for trial 53 in block 2,Trial begins,1575398338.551321,53
2,Fixation dot begins for trial 53 in block 2,Fixation dot,1575398338.5514739,53
2,Image onset for trial 53 in block 2,Image onset,1575398339.438439,53
