stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
26.0,41.0,2.8668680189999995,16.0,1.0,6.0,1.0,110.0,141.0,-8.0,-15.264248764873894,25.0,2.8436610792305332,2.8596801227551047,0.518409140546868
1.0,141.0,2.584929943,17.0,1.0,110.0,104.0,221.0,75.0,-29.0,-34.29491412004223,45.0,0.6192275851364392,2.267296911671809,0.761964637188929
104.0,75.0,1.819329977,18.0,1.0,221.0,75.0,292.0,23.0,-52.0,-50.04177508751025,29.0,2.273467894429179,2.687082093219657,0.32691688400486824
75.0,23.0,1.616361856,19.0,1.0,292.0,44.0,204.0,45.0,1.0,4.82049015577933,31.0,1.9922007720897197,3.370185257671777,0.465519975895149
44.0,45.0,1.61364603,20.0,1.0,204.0,122.0,245.0,111.0,-11.0,-7.953226197006311,70.0,0.03550777175921492,2.604183229708488,-0.25444764352736243
122.0,111.0,1.996358871,21.0,1.0,245.0,24.0,237.0,21.0,-3.0,-1.6319959802218964,-50.0,-0.3848476775863186,2.201530275962367,1.1871222551467024
24.0,21.0,2.989457846,22.0,1.0,237.0,147.0,119.0,4.0,5.0,4.51015537815646,25.0,2.8436610792305332,4.143222759603014,0.8774964148945091
147.0,4.0,2.6712090969999998,23.0,1.0,119.0,28.0,324.0,18.0,-10.0,-8.265440654650613,-29.0,-2.273467894429179,-0.2570886494387354,-0.022550337993813185
28.0,18.0,1.297047853,24.0,1.0,324.0,117.0,316.0,96.0,-21.0,-16.191669725237155,59.0,0.15650930749839084,5.151011245606571,0.003497496180040116
117.0,96.0,0.683378935,25.0,1.0,316.0,40.0,41.0,131.0,-57.0,-54.09810181302033,-71.0,-0.028037682221488988,2.6424942835209055,-0.4343018086676624
40.0,131.0,3.265384912,26.0,1.0,41.0,82.0,187.0,103.0,21.0,15.658269129009673,-42.0,-0.8157064299687214,4.320814761403943,-0.12757888033715845
82.0,103.0,3.565374851,27.0,1.0,187.0,5.0,251.0,6.0,1.0,4.330006341846156,-71.0,-0.028037682221488988,-0.8782661198671514,-0.704234895021462
5.0,6.0,0.949342012,28.0,1.0,251.0,72.0,198.0,84.0,12.0,16.667356519753973,-67.0,-0.060089370940646196,-0.5472110701593376,1.1915337690658518
72.0,84.0,2.83227706,29.0,1.0,198.0,143.0,338.0,142.0,-1.0,0.7812649341238878,-71.0,-0.028037682221488988,1.9807166493467587,-0.1697057943839597
143.0,142.0,5.299543142,30.0,1.0,338.0,46.0,162.0,56.0,10.0,14.436459853933561,-51.0,-0.3492614342744878,4.2564065857148,-0.1697057943839597
46.0,56.0,0.611857176,31.0,1.0,162.0,123.0,30.0,130.0,7.0,9.263583401911083,71.0,0.028037682221488988,5.497618755921468,-1.0901114594236188
123.0,130.0,3.982766867,32.0,1.0,30.0,39.0,65.0,25.0,-14.0,-11.26329674112811,-64.0,-0.0895470310635256,5.986162295354303,-1.0901114594236188
39.0,25.0,5.516905069,33.0,1.0,65.0,141.0,78.0,144.0,3.0,2.1710849307061064,46.0,0.5638416570831049,1.316126354279317,-0.9748692084047093
141.0,144.0,1.950168133,34.0,1.0,78.0,12.0,139.0,139.0,-21.0,-18.295776249650707,-19.0,-3.4975038636738307,5.567949487960389,0.35816194143416785
12.0,139.0,2.949445248,35.0,1.0,139.0,111.0,255.0,113.0,2.0,3.913515005331865,49.0,0.4238111681872142,0.7381476691822482,0.05417623013899431
111.0,113.0,2.861211777,36.0,1.0,255.0,108.0,154.0,118.0,10.0,9.018689105933722,3.0,1.1011813443598826,5.830936879864702,-1.4352219590718227
108.0,118.0,1.363798857,37.0,1.0,154.0,89.0,74.0,102.0,13.0,2.084356335567568,19.0,3.4975038636738307,1.7239045971917863,-1.7947929227306172
89.0,102.0,3.1999881269999997,38.0,1.0,74.0,19.0,320.0,13.0,-6.0,-4.855394363980688,70.0,0.03550777175921492,4.586296777297838,-1.7777596816374281
19.0,13.0,9.033717871,39.0,1.0,320.0,69.0,295.0,82.0,13.0,19.794670933953277,-50.0,-0.3848476775863186,3.9671986904151826,-1.9398302155442615
69.0,82.0,5.883192778,40.0,1.0,295.0,37.0,213.0,6.0,-31.0,-28.528529950154628,32.0,1.8568076651053214,6.331457604462617,-1.8766087619358325
37.0,6.0,0.8119578359999999,41.0,1.0,213.0,35.0,91.0,60.0,25.0,27.273555127429113,2.0,0.741661779371161,0.5991324069201682,-1.472079972443716
35.0,60.0,2.9162781239999997,42.0,1.0,91.0,138.0,327.0,120.0,-18.0,-22.72965788174293,45.0,0.6192275851364392,5.498805998308682,-4.286796373875961
138.0,120.0,1.4149839880000001,43.0,1.0,327.0,66.0,282.0,48.0,-18.0,-9.782054850370693,72.0,0.02081512792994796,2.1336990800542672,-4.132724998735378
66.0,48.0,3.416206121,44.0,1.0,282.0,80.0,297.0,36.0,-44.0,-47.257142386865105,-14.0,-3.5363190496368246,4.605457711049011,-2.827898395547357
80.0,36.0,3.163129807,45.0,1.0,297.0,57.0,345.0,47.0,-10.0,-1.639666379821401,23.0,3.105920288437399,5.240546597285419,-2.57757895924824
57.0,47.0,1.5327510830000002,46.0,1.0,345.0,115.0,0.0,12.0,45.0,49.40299663589109,-58.0,-0.17367127556226325,2.0323375871099927,-2.518736566665442
115.0,12.0,1.4658150669999999,47.0,1.0,0.0,60.0,88.0,56.0,-4.0,4.911687675019428,55.0,0.2354651933290501,2.233767285939188,-3.5838675897323253
60.0,56.0,1.516418934,48.0,1.0,88.0,49.0,25.0,47.0,-2.0,3.5144817608159453,11.0,3.2215278544482473,2.131452377823044,-2.8112132559374152
49.0,47.0,0.9972681999999999,49.0,1.0,25.0,3.0,253.0,63.0,60.0,60.10366449882062,46.0,0.5638416570831049,9.989476899321579,-3.1236743050228637
3.0,63.0,1.1781947609999999,50.0,1.0,253.0,59.0,325.0,48.0,-11.0,-2.217905837236012,-56.0,-0.2129700294880472,1.5871626555341434,-3.7798391793980994
59.0,48.0,1.082828999,51.0,1.0,325.0,139.0,66.0,2.0,11.0,7.416299176018915,68.0,0.05146135211809053,4.202987011585913,-3.7798391793980994
139.0,2.0,1.21518302,52.0,1.0,66.0,62.0,40.0,52.0,-10.0,-1.0215001907761891,-71.0,-0.028037682221488988,8.325504679248793,-3.5600944062010518
62.0,52.0,3.264822006,53.0,1.0,40.0,17.0,15.0,31.0,14.0,15.304888259845262,45.0,0.6192275851364392,1.9143712476562948,-3.5600944062010518
17.0,31.0,1.6498119830000002,54.0,1.0,15.0,133.0,62.0,134.0,1.0,-5.510089819065351,32.0,1.8568076651053214,6.204356593556781,-3.147197184246456
133.0,134.0,1.6831653119999999,55.0,1.0,62.0,45.0,91.0,47.0,2.0,6.116288885292525,-60.0,-0.14078882122485797,7.021345580739843,-3.5191860545195417
45.0,47.0,0.6146709920000001,56.0,1.0,91.0,86.0,207.0,75.0,-11.0,-19.989317863308663,-41.0,-0.892241618937489,2.98731487382035,-2.3484339568105006
86.0,75.0,1.8652868269999998,57.0,1.0,207.0,128.0,43.0,90.0,-38.0,-40.74928585322619,-42.0,-0.8157064299687214,5.478772311847576,-0.7066778934637215
128.0,90.0,2.649610996,58.0,1.0,43.0,83.0,106.0,118.0,35.0,28.66339922361862,45.0,0.6192275851364392,5.457608839606941,-1.990618183570169
83.0,118.0,1.482930899,59.0,1.0,106.0,71.0,167.0,82.0,11.0,16.4489909963172,12.0,3.3575931253864852,4.659993697478247,-1.990618183570169
71.0,82.0,0.9839632509999999,60.0,1.0,167.0,130.0,257.0,129.0,-1.0,-5.67032214478605,-59.0,-0.15650930749839084,2.3809421728447275,-1.9464723545985512
130.0,129.0,2.0204029080000003,61.0,1.0,257.0,68.0,71.0,77.0,9.0,16.350743562659822,62.0,0.11309545909394696,4.206847720199376,-2.0569510779846265
68.0,77.0,1.697010994,62.0,1.0,71.0,124.0,304.0,142.0,18.0,19.37175063001734,-56.0,-0.2129700294880472,4.62039746589336,-2.0569510779846265
84.0,146.0,0.631396055,64.0,1.0,145.0,77.0,296.0,74.0,-3.0,-3.072012203295012,7.0,2.368729635790758,2.983359903959455,-0.7060485205510478
