stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
15.0,21.0,2.264885902404785,1.0,1.0,160.0,27.0,340.0,25.0,-2.0,-3.4029683022829147,-12.0,-1.6723783670195536,-1.6566061666101068,1.9908705178420212
27.0,25.0,2.501492977142334,2.0,1.0,340.0,11.0,236.0,27.0,16.0,20.24255421105704,16.0,1.4887397932594417,4.188098769369027,1.8557223450266684
11.0,27.0,3.768068790435791,3.0,1.0,236.0,95.0,343.0,110.0,15.0,9.954338641599577,64.0,0.001288848904341217,0.5048459684639971,1.5116729688210757
95.0,110.0,3.1837990283966064,4.0,1.0,343.0,79.0,25.0,87.0,8.0,1.8049177693831666,16.0,1.4887397932594417,0.7547811398854339,0.9988588110394566
79.0,87.0,2.950489044189453,5.0,1.0,25.0,124.0,303.0,115.0,-9.0,-6.740677337031855,-45.0,-0.028813612302204892,1.6662296928556148,0.5314834091672697
124.0,115.0,2.6711339950561523,6.0,1.0,303.0,89.0,303.0,106.0,17.0,10.877028700801532,35.0,0.15754614189335747,0.9429905250783728,-1.3275855838919273
89.0,106.0,2.0845680236816406,7.0,1.0,303.0,47.0,137.0,63.0,16.0,17.44058759668917,42.0,0.04840973530807107,1.4846869298231746,-1.3177858379927057
47.0,63.0,3.3509411811828613,8.0,1.0,137.0,65.0,248.0,71.0,6.0,5.421441065194813,-18.0,-1.3181366381944388,1.303616846351103,-1.6897100739560489
65.0,71.0,2.4672529697418213,9.0,1.0,248.0,22.0,107.0,16.0,-6.0,-4.205396910845877,43.0,0.04072808097890689,1.244091548108763,-1.6897100739560489
22.0,16.0,2.486553192138672,10.0,1.0,107.0,102.0,133.0,95.0,-7.0,-10.873260326664592,68.0,0.0006548173946654555,5.314485478523431,-1.2347052073464382
102.0,95.0,5.1353187561035165,11.0,1.0,133.0,98.0,107.0,95.0,-3.0,-7.499326217947953,4.0,0.8977886287996976,1.3759740338998858,-1.2778982772569891
98.0,95.0,4.121277332305908,12.0,1.0,107.0,26.0,244.0,35.0,9.0,8.150506196763473,72.0,0.00024705597924361565,3.219773229948605,-1.659622006128674
