stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,-100,,,,,training,,,,,,,,,,,,,,,,,208.9925432,None,208.9925432,None,208.9925432,None,space,65.2577455,208.9925432,None,,,,,,,,,,,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
61,Stimuli/Morph61.JPG,Stimuli/Morph61.png,Stimuli/BlurLevel5/BlurEditedMorph61,Stimuli/BlurLevel5/BlurEditedMorph61.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph61.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph61.png,Stimuli/BlurMorphTrio/EditedMorph61.png,020201right.gif,Stimuli/normal_thumbnails/61right.gif,,,,,0,0,0,0,0,0,0,60,,,,,,,,,,,,,,,,,,,,,,,57,1,1,309,1.573300978,-1.942864904,61,Experiment,,,,,,,,,17,31,30,30,,,,,,,,,,,,,,,275.4949832,276.0078445,275.4949832,276.0078445,59.18367347,1575397632,1575397638,6.249539852,1575397630,1575397632,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
53,Stimuli/Morph53.JPG,Stimuli/Morph53.png,Stimuli/BlurLevel5/BlurEditedMorph53,Stimuli/BlurLevel5/BlurEditedMorph53.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph53.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph53.png,Stimuli/BlurMorphTrio/EditedMorph53.png,010149right.gif,Stimuli/normal_thumbnails/53right.gif,,,,,0,0,0,0,0,1,1,52,,,,,,,,,,,,,,,,,,,,,,,94,2,1,140,-1.915111108,1.606969024,53,Experiment,,,,,,,,,9,42,11,11,,,,,,,,,,,,,,,284.4750737,284.9754301,284.4750737,284.9754301,85.03401361,1575397641,1575397643,1.516700268,1575397639,1575397641,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
26,Stimuli/Morph26.JPG,Stimuli/Morph26.png,Stimuli/BlurLevel5/BlurEditedMorph26,Stimuli/BlurLevel5/BlurEditedMorph26.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph26.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph26.png,Stimuli/BlurMorphTrio/EditedMorph26.png,010070right.gif,Stimuli/normal_thumbnails/26right.gif,,,,,0,0,0,0,0,2,2,25,,,,,,,,,,,,,,,,,,,,,,,3,3,1,43,1.828384254,1.7049959,26,Experiment,,,,,,,,,91,28,-2,-2,,,,,,,,,,,,,,,288.7376195,289.2405555,288.7376195,289.2405555,97.27891156,1575397645,1575397648,2.867038012,1575397643,1575397645,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
145,Stimuli/Morph145.JPG,Stimuli/Morph145.png,Stimuli/BlurLevel5/BlurEditedMorph145,Stimuli/BlurLevel5/BlurEditedMorph145.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph145.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph145.png,Stimuli/BlurMorphTrio/EditedMorph145.png,None,None,,,,,0,0,0,0,0,3,3,144,,,,,,,,,,,,,,,,,,,,,,,100,4,1,268,-0.087248742,-2.498477068,145,Experiment,,,,,,,,,52,130,15,15,,,,,,,,,,,,,,,294.0744797,294.5745047,294.0744797,294.5745047,79.59183673,1575397651,1575397653,2.549790144,1575397649,1575397651,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
43,Stimuli/Morph43.JPG,Stimuli/Morph43.png,Stimuli/BlurLevel5/BlurEditedMorph43,Stimuli/BlurLevel5/BlurEditedMorph43.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph43.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph43.png,Stimuli/BlurMorphTrio/EditedMorph43.png,010124right.gif,Stimuli/normal_thumbnails/43right.gif,,,,,0,0,0,0,0,4,4,42,,,,,,,,,,,,,,,,,,,,,,,17,5,1,172,-2.475670172,0.347932752,43,Experiment,,,,,,,,,106,41,2,2,,,,,,,,,,,,,,,299.6624672,300.1579461,299.6624672,300.1579461,97.27891156,1575397656,1575397659,2.32805109,1575397654,1575397656,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
68,Stimuli/Morph68.JPG,Stimuli/Morph68.png,Stimuli/BlurLevel5/BlurEditedMorph68,Stimuli/BlurLevel5/BlurEditedMorph68.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph68.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph68.png,Stimuli/BlurMorphTrio/EditedMorph68.png,020218right.gif,Stimuli/normal_thumbnails/68right.gif,,,,,0,0,0,0,0,5,5,67,,,,,,,,,,,,,,,,,,,,,,,86,6,1,276,0.261321158,-2.486304738,68,Experiment,,,,,,,,,138,47,21,21,,,,,,,,,,,,,,,304.895364,305.3902704,304.895364,305.3902704,71.42857143,1575397662,1575397665,2.935699224,1575397659,1575397662,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
85,Stimuli/Morph85.JPG,Stimuli/Morph85.png,Stimuli/BlurLevel5/BlurEditedMorph85,Stimuli/BlurLevel5/BlurEditedMorph85.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph85.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph85.png,Stimuli/BlurMorphTrio/EditedMorph85.png,020264right.gif,Stimuli/normal_thumbnails/85right.gif,,,,,0,0,0,0,0,6,6,84,,,,,,,,,,,,,,,,,,,,,,,17,7,1,191,-2.454067959,-0.477022488,85,Experiment,,,,,,,,,24,104,-19,-19,,,,,,,,,,,,,,,310.513057,311.0074148,310.513057,311.0074148,74.14965986,1575397667,1575397670,2.349593163,1575397665,1575397667,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
141,Stimuli/Morph141.JPG,Stimuli/Morph141.png,Stimuli/BlurLevel5/BlurEditedMorph141,Stimuli/BlurLevel5/BlurEditedMorph141.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph141.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph141.png,Stimuli/BlurMorphTrio/EditedMorph141.png,None,None,,,,,0,0,0,0,0,7,7,140,,,,,,,,,,,,,,,,,,,,,,,29,8,1,197,-2.39076189,-0.730929262,141,Experiment,,,,,,,,,80,144,-3,-3,,,,,,,,,,,,,,,315.5815434,316.0744979,315.5815434,316.0744979,95.91836735,1575397672,1575397674,1.883124828,1575397670,1575397672,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
135,Stimuli/Morph135.JPG,Stimuli/Morph135.png,Stimuli/BlurLevel5/BlurEditedMorph135,Stimuli/BlurLevel5/BlurEditedMorph135.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph135.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph135.png,Stimuli/BlurMorphTrio/EditedMorph135.png,None,None,,,,,0,0,0,0,0,8,8,134,,,,,,,,,,,,,,,,,,,,,,,10,9,1,243,-1.134976249,-2.22751631,135,Experiment,,,,,,,,,145,121,14,14,,,,,,,,,,,,,,,320.2515715,320.7909377,320.2515715,320.7909377,80.95238095,1575397677,1575397681,4.150025129,1575397674,1575397677,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
