stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
113.0,138.0,1.4141829013824463,19.0,1.0,246.0,125.0,77.0,104.0,-21.0,-13.456704465685725,-12.0,-3.7407334316134597,10.026810410370317,-2.961335242346901
125.0,104.0,2.720707893371582,20.0,1.0,77.0,129.0,171.0,88.0,-41.0,-32.21071169531472,-4.0,-1.6125803206306253,9.965140206961939,-1.6905620059948034
129.0,88.0,2.150593042373657,21.0,1.0,171.0,136.0,86.0,102.0,-34.0,-28.981259591368534,-7.0,-2.6390291521910005,6.000334131087742,-3.2161040038809667
136.0,102.0,3.129244089126587,22.0,1.0,86.0,97.0,192.0,143.0,46.0,34.9615252265424,39.0,1.1846346583050609,4.20766419756061,-3.5416033795984077
97.0,143.0,7.330280303955077,23.0,1.0,192.0,140.0,4.0,147.0,7.0,6.116974279440292,-43.0,-0.8298689642541984,1.7651684446551517,-5.203630650730841
140.0,147.0,4.366734266281128,24.0,1.0,4.0,75.0,138.0,49.0,-26.0,-26.558220001305976,65.0,0.08806416301670601,5.716517522559951,-6.789116292170409
75.0,49.0,10.782950162887573,25.0,1.0,138.0,3.0,17.0,144.0,-7.0,-5.5918435464260625,72.0,0.02319037537188738,6.004372121370483,-5.9456758493249895
3.0,144.0,2.265644073486328,26.0,1.0,17.0,78.0,318.0,108.0,30.0,27.157465472087615,73.0,0.015347908191245783,5.158375913831651,-5.420553046779571
78.0,108.0,0.9818978309631348,27.0,1.0,318.0,54.0,239.0,48.0,-6.0,-5.051574367976677,24.0,3.318224827386278,3.3755232838042186,-4.47881836872232
54.0,48.0,3.5983266830444336,28.0,1.0,239.0,76.0,358.0,123.0,47.0,45.69168167280788,-22.0,-3.5919611087747567,4.951167721056724,-5.943563755835019
76.0,123.0,6.93694806098938,29.0,1.0,358.0,68.0,334.0,69.0,1.0,4.6660256206982424,8.0,2.9260122318733583,-0.5712297074385895,-7.058738349507213
68.0,69.0,3.3821418285369877,30.0,1.0,334.0,100.0,180.0,127.0,27.0,16.57255732131859,-32.0,-2.068690948941846,-2.53708387161086,-9.107802033957675
100.0,127.0,4.965809106826782,31.0,1.0,180.0,53.0,105.0,50.0,-3.0,-2.867168207299578,47.0,0.5715524733642701,4.757514369806089,-8.85490380772929
53.0,50.0,8.049767971038817,32.0,1.0,105.0,7.0,328.0,49.0,42.0,35.28227943796564,46.0,0.6281825277499877,3.4733700917061263,-8.856316268645203
7.0,49.0,6.9963130950927725,33.0,1.0,328.0,128.0,236.0,111.0,-17.0,-8.335499127075245,27.0,2.8534757404643667,3.0056914296487425,-7.9324007887252455
128.0,111.0,5.316649913787842,34.0,1.0,236.0,12.0,225.0,27.0,15.0,11.651324867440941,-32.0,-2.068690948941846,1.4237484776281557,-6.414036043240315
12.0,27.0,7.3141236305236825,35.0,1.0,225.0,137.0,76.0,143.0,6.0,9.759941837321385,23.0,3.460341805820796,4.117808160961394,-8.342647273510876
137.0,143.0,5.200577974319458,36.0,1.0,76.0,104.0,249.0,141.0,37.0,28.23077641543734,33.0,1.9229910525156004,7.142484253125259,-7.266913823464811
104.0,141.0,3.698960304260254,37.0,1.0,249.0,19.0,14.0,19.0,0.0,-1.7778719568122412,-63.0,-0.11237148977876484,8.960932585982922,-3.789387476681289
19.0,19.0,4.7001051902771,38.0,1.0,14.0,50.0,5.0,57.0,7.0,4.389465310223109,-31.0,-2.2195339792887703,0.8764191437091426,-9.026218485039957
50.0,57.0,4.730193853378296,39.0,1.0,5.0,99.0,12.0,96.0,-3.0,-13.693892325084498,-49.0,-0.4721729364522492,4.398064803444153,-9.026218485039957
99.0,96.0,2.679193019866944,40.0,1.0,12.0,84.0,27.0,141.0,57.0,49.79806516162473,15.0,3.9893609522494238,6.144579153020345,-7.790726104837673
84.0,141.0,3.2344021797180176,41.0,1.0,27.0,98.0,198.0,145.0,47.0,36.10205503002391,-14.0,-3.9398540561037616,2.0831257925773556,-12.362436712715049
98.0,145.0,6.632272243499756,42.0,1.0,198.0,21.0,98.0,137.0,-32.0,-34.96296512934139,-71.0,-0.031237106851441893,3.786344257254828,-11.432640448758612
21.0,137.0,3.8303830623626713,43.0,1.0,98.0,80.0,227.0,105.0,25.0,20.62739265628222,-59.0,-0.1743688341639586,-3.35141294843278,-10.809599494722253
80.0,105.0,2.9305667877197266,44.0,1.0,227.0,61.0,88.0,67.0,6.0,10.498499336963455,19.0,3.896609607342876,6.023739350442104,-9.207258430492228
61.0,67.0,4.033314943313599,45.0,1.0,88.0,33.0,245.0,39.0,6.0,-6.273246851167237,28.0,2.693020329440642,6.431196843779635,-6.838406745453023
33.0,39.0,3.6325409412384033,46.0,1.0,245.0,69.0,23.0,68.0,-1.0,2.2238824152494274,-36.0,-1.5228696764258725,1.235095602706103,-4.39707050418114
69.0,68.0,2.6496481895446777,47.0,1.0,23.0,45.0,357.0,54.0,9.0,1.512397624364958,24.0,3.318224827386278,3.0858499590587236,-4.462939637481989
45.0,54.0,2.365839958190918,48.0,1.0,357.0,87.0,14.0,64.0,-23.0,-31.939665590636587,-42.0,-0.908787991533886,7.724909578409027,-4.462939637481989
87.0,64.0,3.2322471141815186,49.0,1.0,14.0,41.0,81.0,54.0,13.0,2.275732584835005,46.0,0.6281825277499877,4.0957582510519535,-4.462939637481989
41.0,54.0,3.2327649593353267,50.0,1.0,81.0,91.0,70.0,62.0,-29.0,-39.523988780542076,-50.0,-0.42876325980198104,3.985145371056428,-5.750614978643103
91.0,62.0,4.8158841133117685,51.0,1.0,70.0,36.0,14.0,53.0,17.0,4.3612480369612925,55.0,0.26233450203994313,5.837691280905359,-5.508190736218861
36.0,53.0,9.100459814071657,52.0,1.0,14.0,110.0,49.0,131.0,21.0,16.24441529138796,-74.0,-0.007640397442859811,7.628688378631367,-4.350666820567478
110.0,131.0,7.629608154296875,53.0,1.0,49.0,39.0,18.0,53.0,14.0,2.1641717764000035,71.0,0.031237106851441893,2.96404445877462,-3.891014693952705
39.0,53.0,2.0313868522644043,54.0,1.0,18.0,55.0,204.0,51.0,-4.0,-2.30075641377487,-16.0,-4.007595128015652,1.1431225812800807,-4.230850767711813
55.0,51.0,8.517632007598879,55.0,1.0,204.0,102.0,114.0,69.0,-33.0,-42.71317700612047,-47.0,-0.5715524733642701,9.56274935234875,-4.507855539400993
102.0,69.0,2.1331000328063965,56.0,1.0,114.0,46.0,45.0,59.0,13.0,6.458889563194994,56.0,0.23727237917929248,6.425113803719334,-1.2796368492793952
46.0,59.0,7.44380784034729,57.0,1.0,45.0,11.0,238.0,5.0,-6.0,-10.21776119568532,35.0,1.6496356477635956,4.5688941731702135,-1.2796368492793952
11.0,5.0,3.2003140449523926,58.0,1.0,238.0,5.0,19.0,140.0,-13.0,-18.05778382693277,6.0,2.3224169041434295,3.653465669014413,-1.4081727021037613
5.0,140.0,5.151423931121826,59.0,1.0,19.0,2.0,244.0,141.0,-9.0,-1.5514269759210713,3.0,1.2268389037355878,7.2232649522603385,0.23471193381806005
2.0,141.0,4.368475914001465,60.0,1.0,244.0,58.0,323.0,40.0,-18.0,-14.507327724302677,-56.0,-0.23727237917929248,4.0609827650574175,-1.0876584581073272
58.0,40.0,16.18798828125,61.0,1.0,323.0,115.0,323.0,142.0,27.0,26.531217538937263,-57.0,-0.2143930231555949,1.3443523216760676,-0.8713721423204298
115.0,142.0,8.503606796264647,62.0,1.0,323.0,8.0,206.0,14.0,6.0,-0.5120334404540401,-41.0,-0.9940567329717719,2.5338065615385013,0.20431841749306812
8.0,14.0,3.553424835205078,63.0,1.0,206.0,66.0,18.0,72.0,6.0,10.330240482115705,-58.0,-0.1934891817722098,2.6680822883112074,0.6208618726760355
66.0,72.0,7.733397006988525,64.0,1.0,18.0,147.0,283.0,46.0,47.0,37.52725344470111,67.0,0.06694626488326805,-2.020746461489064,0.6695056499537019
147.0,46.0,2.8163809776306152,65.0,1.0,283.0,95.0,105.0,67.0,-28.0,-39.12592777783214,52.0,0.35292952114560566,8.431227555199822,-0.262028235244337
95.0,67.0,4.640398025512695,66.0,1.0,105.0,126.0,233.0,66.0,-60.0,-51.972005471359516,-31.0,-2.2195339792887703,2.2991748733445063,-1.0630832333052678
126.0,66.0,4.698065996170044,67.0,1.0,233.0,146.0,168.0,51.0,53.0,43.649241931249726,-20.0,-3.8128904938430996,8.218422290952667,-3.7994686592913887
146.0,51.0,2.949259996414185,68.0,1.0,168.0,18.0,30.0,51.0,33.0,31.577807645105175,-20.0,-3.8128904938430996,-2.0064812168786563,-4.028214335353601
18.0,51.0,10.131370067596436,69.0,1.0,30.0,96.0,206.0,80.0,-16.0,-27.114644326951456,70.0,0.03955962021887583,3.9317059668781718,-4.316722653801426
96.0,80.0,4.048572301864623,70.0,1.0,206.0,15.0,169.0,23.0,8.0,6.481242910350865,-67.0,-0.06694626488326805,7.722791791658097,-3.673312928336887
15.0,23.0,4.980612754821777,71.0,1.0,169.0,20.0,196.0,29.0,9.0,6.700442367944454,-5.0,-1.9791036310855867,2.690328820335032,-2.3377814229851603
20.0,29.0,3.184239864349365,72.0,1.0,196.0,130.0,249.0,16.0,34.0,42.76762899874468,38.0,1.2903151638241155,4.6042380788786454,-2.787068535983743
130.0,16.0,3.2330951690673833,73.0,1.0,249.0,27.0,99.0,25.0,-2.0,-10.352266396968723,-45.0,-0.6898886323806072,-0.5414111246904579,-3.6624965228324604
27.0,25.0,9.766082048416136,74.0,1.0,99.0,24.0,153.0,28.0,4.0,-1.526190792111315,3.0,1.2268389037355878,4.466293354500648,-3.311412142827921
24.0,28.0,2.0003309249877934,75.0,1.0,153.0,43.0,262.0,36.0,-7.0,-16.242337587803654,-19.0,-3.896609607342876,7.377363007315754,-2.7583377242247207
43.0,36.0,6.049345970153809,76.0,1.0,262.0,93.0,141.0,44.0,-49.0,-59.95343998271385,-50.0,-0.42876325980198104,6.9682080220628295,-3.3810920443564165
93.0,44.0,3.921604871749878,77.0,1.0,141.0,89.0,90.0,129.0,40.0,30.15287227338178,4.0,1.6125803206306253,2.554428712543971,-4.745635947435366
89.0,129.0,3.7334079742431636,78.0,1.0,90.0,62.0,108.0,63.0,1.0,5.647606860541437,27.0,2.8534757404643667,5.43484347056393,-5.319825534636855
62.0,63.0,3.8666701316833496,79.0,1.0,108.0,52.0,121.0,49.0,-3.0,-3.7388378171539713,10.0,3.4024379734003984,4.689420848828866,-5.309512087428386
52.0,49.0,3.3665790557861333,80.0,1.0,121.0,73.0,85.0,54.0,-19.0,-18.130328906886398,-21.0,-3.7104019917874242,-2.615063993624616,-5.0241223189393285
73.0,54.0,9.781720161437988,81.0,1.0,85.0,101.0,168.0,50.0,-51.0,-61.099989616669454,-28.0,-2.693020329440642,7.645859926511252,-1.3223322326353408
101.0,50.0,2.5979793071746826,82.0,1.0,168.0,142.0,103.0,14.0,20.0,15.672816580951867,-41.0,-0.9940567329717719,6.225379826501904,-1.8564930019141945
142.0,14.0,1.9484448432922363,83.0,1.0,103.0,26.0,332.0,29.0,3.0,-4.426270636834765,-32.0,-2.068690948941846,10.432701467878967,-0.08274283077150961
26.0,29.0,2.7157142162323,84.0,1.0,332.0,83.0,32.0,114.0,31.0,24.46100478236469,-57.0,-0.2143930231555949,4.512483555958785,0.8538398876655854
,,,,,,,,,,,,,6.961252229885625,2.2647379436330164
75.0,19.0,2.6774311065673833,1.0,2.0,314.0,10.0,333.0,3.0,-7.0,-12.108666981366916,65.0,0.08806416301670601,5.479807534174154,2.1387412510309893
10.0,3.0,2.166182279586792,2.0,2.0,333.0,65.0,307.0,43.0,-22.0,-17.45814735779134,-55.0,-0.26233450203994313,5.767999530725334,2.248918439288419
65.0,43.0,3.170073270797729,3.0,2.0,307.0,81.0,195.0,37.0,-44.0,-49.11840911950588,-16.0,-4.007595128015652,2.876940845870497,3.955516154427715
81.0,37.0,2.132558822631836,4.0,2.0,195.0,66.0,133.0,71.0,5.0,9.330240482115705,15.0,3.9893609522494238,0.5268341572109182,4.856665264922583
66.0,71.0,4.065342903137207,5.0,2.0,133.0,67.0,12.0,68.0,1.0,5.036665180877613,-1.0,-0.4156904794889356,5.830061890336912,6.269124111681417
67.0,68.0,8.246057033538817,6.0,2.0,12.0,44.0,252.0,65.0,21.0,12.607469898371797,23.0,3.460341805820796,8.02740259548478,4.268737672680636
44.0,65.0,5.916675090789795,7.0,2.0,252.0,51.0,250.0,53.0,2.0,0.34314677294577933,-7.0,-2.6390291521910005,7.5765121224686185,2.41223886267039
51.0,53.0,6.6792259216308585,8.0,2.0,250.0,43.0,274.0,64.0,21.0,11.757662412196346,8.0,2.9260122318733583,-0.13931078027004548,3.0282021345488213
43.0,64.0,7.550027132034303,9.0,2.0,274.0,102.0,91.0,129.0,27.0,17.286822993879532,-59.0,-0.1743688341639586,9.02375417088356,1.630161413885771
102.0,129.0,15.666483879089355,10.0,2.0,91.0,147.0,164.0,134.0,-13.0,-22.47274655529889,-45.0,-0.6898886323806072,2.8503098604508073,1.4598521876088932
147.0,134.0,6.40044903755188,11.0,2.0,164.0,76.0,227.0,138.0,62.0,60.69168167280788,71.0,0.031237106851441893,2.5071113819813124,1.7811359909327251
76.0,138.0,4.0494678020477295,12.0,2.0,227.0,26.0,225.0,25.0,-1.0,-8.426270636834765,50.0,0.42876325980198104,6.0957363503887905,0.9250821049352096
26.0,25.0,12.300973653793335,13.0,2.0,225.0,113.0,182.0,113.0,0.0,-2.2468848310399423,61.0,0.14078219743881917,9.587811451163287,1.3864447996756533
