peak_velocity,start_gx,type,sd,start_gy,amplitude,rms,end_time,end_gy,mean_gy,duration,blink_id,end_gx,mean_gx,start_time,end_point
,,blink,,,,,1575397491.9248672,,,,85.0,,,1575397491.8603144,
,,blink,,,,,1575397492.6188073,,,,86.0,,,1575397492.4755373,
,,blink,,,,,1575397493.8210993,,,,87.0,,,1575397493.6737928,
,,blink,,,,,1575397497.6518402,,,,88.0,,,1575397497.4783554,
,,blink,,,,,1575397498.8117132,,,,89.0,,,1575397498.7109582,
,,blink,,,,,1575397504.9806292,,,,90.0,,,1575397504.845409,
,,blink,,,,,1575397509.3660293,,,,91.0,,,1575397509.1986673,
,,blink,,,,,1575397509.7110527,,,,92.0,,,1575397509.6182587,
,,blink,,,,,1575397510.4030473,,,,93.0,,,1575397510.2597487,
,,blink,,,,,1575397511.0868278,,,,94.0,,,1575397510.9375503,
,,blink,,,,,1575397513.6668322,,,,95.0,,,1575397513.5156152,
,,blink,,,,,1575397515.0589032,,,,96.0,,,1575397514.9820874,
,,blink,,,,,1575397517.1547623,,,,97.0,,,1575397517.0135531,
,,blink,,,,,1575397519.1962342,,,,98.0,,,1575397519.0550263,
,,blink,,,,,1575397520.0919008,,,,99.0,,,1575397519.9547262,
,,blink,,,,,1575397520.5276299,,,,100.0,,,1575397520.2532818,
,,blink,,,,,1575397520.9251204,,,,101.0,,,1575397520.8060122,
,,blink,,,,,1575397522.1716092,,,,102.0,,,1575397522.0244403,
,,blink,,,,,1575397523.8499713,,,,103.0,,,1575397523.6947362,
,,blink,,,,,1575397524.6568763,,,,104.0,,,1575397524.4976077,
,,blink,,,,,1575397527.5719209,,,,105.0,,,1575397527.1603982,
,,blink,,,,,1575397534.6382892,,,,106.0,,,1575397534.4976993,
,,blink,,,,,1575397535.6549902,,,,107.0,,,1575397535.5103648,
,,blink,,,,,1575397537.9869452,,,,108.0,,,1575397537.8382857,
,,blink,,,,,1575397538.9840908,,,,109.0,,,1575397538.4192567,
,,blink,,,,,1575397540.8284862,,,,110.0,,,1575397540.6785908,
,,blink,,,,,1575397541.6434603,,,,111.0,,,1575397541.4808433,
,,blink,,,,,1575397544.5712883,,,,112.0,,,1575397544.4145603,
,,blink,,,,,1575397549.0576792,,,,113.0,,,1575397548.7718472,
,,blink,,,,,1575397549.3649223,,,,114.0,,,1575397549.2882662,
,,blink,,,,,1575397549.7205791,,,,115.0,,,1575397549.59489,
,,blink,,,,,1575397550.2928634,,,,116.0,,,1575397550.2531362,
,,blink,,,,,1575397552.4156423,,,,117.0,,,1575397552.2657456,
,,blink,,,,,1575397554.0604904,,,,118.0,,,1575397553.9077973,
,,blink,,,,,1575397557.4426603,,,,119.0,,,1575397557.3688002,
,,blink,,,,,1575397560.1122763,,,,120.0,,,1575397559.9595838,
,,blink,,,,,1575397561.416047,,,,121.0,,,1575397561.2627354,
,,blink,,,,,1575397562.4038863,,,,122.0,,,1575397562.2511938,
,,blink,,,,,1575397563.1555474,,,,123.0,,,1575397563.0177536,
,,blink,,,,,1575397563.9773502,,,,124.0,,,1575397563.8206244,
,,blink,,,,,1575397564.9537053,,,,125.0,,,1575397564.809082,
,,blink,,,,,1575397565.6038837,,,,126.0,,,1575397565.361812,
,,blink,,,,,1575397565.9952326,,,,127.0,,,1575397565.9024386,
,,blink,,,,,1575397566.6407566,,,,128.0,,,1575397566.5675154,
,,blink,,,,,1575397567.4920416,,,,129.0,,,1575397567.3508334,
,,blink,,,,,1575397567.7220092,,,,130.0,,,1575397567.6009731,
,,blink,,,,,1575397568.4879494,,,,131.0,,,1575397568.3669133,
,,blink,,,,,1575397568.7393293,,,,132.0,,,1575397568.5894318,
,,blink,,,,,1575397569.2718873,,,,133.0,,,1575397569.085678,
,,blink,,,,,1575397570.4903133,,,,134.0,,,1575397570.3242779,
,,blink,,,,,1575397571.2556322,,,,135.0,,,1575397571.086803,
,,blink,,,,,1575397572.4175754,,,,136.0,,,1575397572.272953,
,,blink,,,,,1575397573.5553112,,,,137.0,,,1575397573.3945508,
,,blink,,,,,1575397573.9714878,,,,138.0,,,1575397573.8585215,
,,blink,,,,,1575397574.500011,,,,139.0,,,1575397574.407216,
,,blink,,,,,1575397575.2026381,,,,140.0,,,1575397575.032568,
,,blink,,,,,1575397575.8158863,,,,141.0,,,1575397575.6417813,
,,blink,,,,,1575397576.4164097,,,,142.0,,,1575397576.2066143,
,,blink,,,,,1575397576.650412,,,,143.0,,,1575397576.5616522,
