stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
,,,,,,,,,,1.4782900061925777,2.0745368670585744
27.0,25.0,2.264885902404785,2.0,1.0,340.0,-2.0,-1.8534491374581332,-12.0,1.0048458917784262,1.3489290994307632,1.861589791161115
11.0,27.0,2.501492977142334,3.0,1.0,236.0,16.0,19.521060107649113,16.0,-1.076530999545343,2.483309316510985,1.3219692766530442
95.0,110.0,3.768068790435791,4.0,1.0,343.0,15.0,11.220668363571585,64.0,-0.026799246621441508,2.685406621747634,0.8339372239946278
79.0,87.0,3.1837990283966064,5.0,1.0,25.0,8.0,-0.12098118665527657,16.0,-1.076530999545343,3.2021904784222266,0.4148107422854361
124.0,115.0,2.950489044189453,6.0,1.0,303.0,-9.0,-7.024263376224317,-45.0,0.18531974288430494,4.551931505244166,-1.432239088456343
89.0,106.0,2.6711339950561523,7.0,1.0,303.0,17.0,11.43987778421218,35.0,-0.44312957163182515,4.872089295723208,-1.3654609596137337
47.0,63.0,2.0845680236816406,8.0,1.0,137.0,16.0,19.610667776891667,42.0,-0.24412107843174816,0.5263034221995472,-1.7677793426811272
65.0,71.0,3.3509411811828613,9.0,1.0,248.0,6.0,2.070412967969512,-18.0,1.0634120030680743,0.659012804157907,-0.2778684457703678
22.0,16.0,2.4672529697418213,10.0,1.0,107.0,-6.0,-4.2688178653285345,43.0,-0.22292163672402607,2.698895920597522,0.1339318647235822
102.0,95.0,2.486553192138672,11.0,1.0,133.0,-7.0,-9.92370666038311,68.0,-0.015401130003666715,6.4621869833824475,0.12602071418449506
98.0,95.0,5.1353187561035165,12.0,1.0,107.0,-3.0,-6.229755708312828,4.0,-0.4331756699679028,2.583507851282842,-0.5388121032292802
26.0,35.0,4.121277332305908,13.0,1.0,244.0,9.0,9.365602147235117,72.0,-0.00622946110222684,8.475093622469048,-1.6471861964375405
94.0,96.0,3.25459098815918,14.0,1.0,17.0,2.0,-2.0227672628410485,-68.0,0.015401130003666715,3.7962653377137223,-1.9709667749251885
90.0,93.0,5.25478982925415,15.0,1.0,173.0,3.0,-2.22445871367278,4.0,-0.4331756699679028,2.8598711430579966,-1.5097815496709253
131.0,10.0,5.971207857131957,16.0,1.0,13.0,27.0,31.73180018386632,-41.0,0.2670261974625363,1.748777487771597,-2.170793023142728
21.0,11.0,5.299554109573363,17.0,1.0,49.0,-10.0,-7.8587953651568,-38.0,0.3466079352525694,1.194502289254453,-1.9495403741845478
141.0,8.0,4.482728958129883,18.0,1.0,92.0,15.0,12.69093972913266,28.0,-0.7234063756542802,1.5278060606742445,-0.9006496112087131
54.0,56.0,3.3485338687896733,19.0,1.0,192.0,2.0,4.343497252001166,-61.0,0.03781729311475667,2.988462214676659,-0.6640913305332398
6.0,8.0,4.100360870361328,20.0,1.0,166.0,2.0,4.0160808585217165,48.0,-0.13959263245643444,1.3583940276532518,-0.38440521775467024
29.0,35.0,3.878782033920288,21.0,1.0,293.0,6.0,5.89854364390167,-23.0,0.9295263377955622,5.780706927966222,-0.4307544356262369
78.0,77.0,7.399025917053223,22.0,1.0,113.0,-1.0,-9.174433449317112,-49.0,0.12683636614448335,1.0780004415026614,-0.5578494061128397
61.0,66.0,7.549824953079224,23.0,1.0,60.0,5.0,3.5790324572605616,17.0,-1.073580192804731,2.2373189187496103,-0.5612725777751459
31.0,133.0,9.945549964904783,24.0,1.0,9.0,-46.0,-46.08855777101146,30.0,-0.637880301716782,11.04768998234109,-0.07428635971154209
118.0,137.0,6.816261053085327,25.0,1.0,94.0,19.0,17.74956899035943,61.0,-0.03781729311475667,3.753691280647742,0.8840540564486536
82.0,74.0,3.049336671829224,26.0,1.0,186.0,-8.0,-15.669347792315184,36.0,-0.40907735491210995,5.1459787633753855,1.013407683994164
40.0,127.0,7.89628791809082,27.0,1.0,111.0,-61.0,-58.82241018691962,42.0,-0.24412107843174816,5.156593313978011,1.0373850268073943
28.0,38.0,2.92986798286438,28.0,1.0,281.0,10.0,9.989955862003862,12.0,-1.0048458917784262,1.760677798851501,-0.17443886568404077
115.0,147.0,6.433216094970702,29.0,1.0,141.0,32.0,29.7300457736526,61.0,-0.03781729311475667,6.018691290701814,0.16020048104329954
125.0,136.0,3.6820070743560787,30.0,1.0,319.0,11.0,13.558837702703281,-10.0,0.9139720544513938,0.7609339253058238,-1.016206677036888
107.0,118.0,5.598031997680664,31.0,1.0,143.0,11.0,8.029169615220562,18.0,-1.0634120030680743,2.674708296045595,-1.3660390549824781
85.0,30.0,9.133073091506956,32.0,1.0,358.0,-55.0,-61.877893418789306,22.0,-0.964882269539563,3.393256218419637,-1.1701019689794647
14.0,17.0,3.950363874435425,33.0,1.0,68.0,3.0,7.011704707369072,71.0,-0.00839099578842822,1.6467837483571175,-0.8048305646980987
50.0,54.0,3.0663020610809326,34.0,1.0,222.0,4.0,7.443331524162099,-36.0,0.40907735491210995,1.5011206013711649,-0.0017424340639305314
121.0,147.0,4.367002010345459,35.0,1.0,92.0,26.0,26.22757892762764,-71.0,0.00839099578842822,0.7303495514213819,0.6614116932646481
147.0,146.0,4.46686601638794,36.0,1.0,241.0,-1.0,3.5108048156139464,-26.0,0.8092289987567391,2.9263015638588583,0.6801191874132393
127.0,123.0,6.00095796585083,37.0,1.0,127.0,-4.0,-0.38037649240947324,20.0,-1.0242289161485363,1.0378685550256177,0.793065927994918
