stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
7.0,141.0,2.016757727,1.0,1.0,157.0,110.0,281.0,106.0,-4.0,2.614003887934569,43.0,-124.0,5.633902273679598,-1.6101858030160325,-0.19465782023593492,5.186598223647964,-0.0008057890765854833
110.0,106.0,1.5509428980000002,2.0,1.0,281.0,45.0,286.0,56.0,11.0,9.447071606726507,65.0,-5.0,9.30515034208931,-3.4043334177260447,0.30369813837797294,7.3413977718632895,-0.0012261962581686984
45.0,56.0,2.166673899,3.0,1.0,286.0,90.0,93.0,113.0,23.0,12.380933234478885,-45.0,-167.0,4.255757315747905,-3.244143896432943,0.23559700943977302,0.7561475742159909,-0.0016681207277443972
90.0,113.0,2.2984297280000003,4.0,1.0,93.0,146.0,27.0,138.0,-8.0,-1.0662444410375151,-56.0,66.0,6.65641146763521,-3.279676235775384,0.40984358264507825,2.323303604674932,-0.002139587973034103
146.0,138.0,3.3708019260000004,5.0,1.0,27.0,31.0,162.0,25.0,-6.0,-7.136366641860054,-31.0,-135.0,2.9246395777960097,-2.5417313351623307,-0.008110043927106186,7.833068801243226,-0.002649387561936457
31.0,25.0,3.4537520410000004,6.0,1.0,162.0,39.0,96.0,50.0,11.0,7.289122170695901,-8.0,66.0,4.535831120641396,-2.644196698342855,-0.23695685577833045,3.1968297334851554,-0.0032073063834297776
39.0,50.0,4.969363213,7.0,1.0,96.0,81.0,344.0,131.0,50.0,42.11957390101803,-42.0,112.0,9.383762567276271,-1.5208077875751578,0.7312914519667292,1.115737486687176,-0.0038243917837074252
81.0,131.0,12.81811404,8.0,1.0,344.0,98.0,275.0,115.0,17.0,9.901473894652536,-17.0,69.0,1.6979035565165754,-1.0890238135585903,-0.21484521106081172,6.931847204889002,-0.0045132523564199905
98.0,115.0,4.7701072689999995,9.0,1.0,275.0,70.0,358.0,76.0,6.0,6.171439991059838,28.0,-83.0,6.847664440749554,-2.308289195756426,0.2021747100394809,1.8957359508648663,-0.005288405153834874
70.0,76.0,3.5331387519999997,10.0,1.0,358.0,59.0,148.0,51.0,-8.0,-3.778641321864331,11.0,-150.0,4.706585967855645,-2.416696955371463,-0.2044924534296621,7.144991674995051,-0.006166679287065563
59.0,51.0,3.88538003,11.0,1.0,148.0,58.0,126.0,42.0,-16.0,-11.846884678811552,1.0,22.0,8.103615175688622,-1.6440845500053962,0.17428782616058108,0.187216979624051,-0.00716768728332136
58.0,42.0,5.80434823,12.0,1.0,126.0,131.0,213.0,15.0,30.0,36.30179592293494,-73.0,-87.0,6.15704351308526,0.7581066556676338,0.1034777120936716,2.284347368590032,-0.008314377166419574
131.0,15.0,4.766338825,13.0,1.0,213.0,120.0,354.0,91.0,-29.0,-13.278872861188024,11.0,-141.0,4.430954774585741,0.47198955366949175,0.012944526023718535,4.946265646801826,-0.009633680015383806
120.0,91.0,2.298239946,14.0,1.0,354.0,145.0,218.0,18.0,19.0,18.522383891008626,-25.0,136.0,2.361170148706372,0.2353787038409223,-0.29846217636246286,3.3594323641272803,-0.011157269714164487
145.0,18.0,3.908520222,15.0,1.0,218.0,51.0,352.0,102.0,51.0,52.79199530909379,-52.0,-134.0,2.0662631120756814,0.9846985184737419,-0.06387056780726375,2.738005822121058,-0.012922453694819003
51.0,102.0,4.080471039,16.0,1.0,352.0,144.0,332.0,1.0,3.0,-2.6875075012594785,53.0,20.0,6.963797860415963,0.9846985184737419,0.003109359247130292,4.013694287292107,-0.014973215633603473
144.0,1.0,4.5128319260000005,17.0,1.0,332.0,79.0,145.0,74.0,-5.0,-11.566043900095696,65.0,-173.0,11.633619826845063,1.6533328487651138,0.4146627659136165,1.4196552428378937,-0.01736143318789402
79.0,74.0,2.8374691010000004,18.0,1.0,145.0,109.0,56.0,104.0,-5.0,0.33391519263100733,-30.0,89.0,8.188557468147849,2.218019410465913,-0.1824106674783161,5.326525628483526,-0.02014829582179414
109.0,104.0,3.2163300510000004,19.0,1.0,56.0,52.0,347.0,42.0,-10.0,-7.707610973673997,57.0,69.0,6.7258121907578845,2.584769638766881,0.19407875800086605,3.006239902349288,-0.02340594936436774
52.0,42.0,1.553049088,20.0,1.0,347.0,34.0,148.0,27.0,-7.0,-9.973602406369753,18.0,-161.0,2.378561597671829,2.941940467575434,0.1729152832938832,3.605878665750765,-0.027219394912145877
34.0,27.0,1.149183989,21.0,1.0,148.0,140.0,39.0,134.0,-6.0,-17.465859482335436,40.0,109.0,2.0380249149581386,2.309396547833773,-0.20131723573779717,6.124968436874715,-0.03168866967809827
140.0,134.0,3.549727201,22.0,1.0,39.0,103.0,346.0,106.0,3.0,0.8393516822429596,37.0,53.0,6.569121600161441,2.1796707948398075,0.18512003910959107,2.6099806256797224,-0.036931335953841786
103.0,106.0,1.84871912,23.0,1.0,346.0,75.0,107.0,79.0,4.0,0.42494437381308714,28.0,-121.0,0.14234342127249827,2.073547530281827,-0.12699597500979723,1.5204634680834899,-0.04308530092654936
75.0,79.0,4.5205399989999995,24.0,1.0,107.0,99.0,309.0,70.0,-29.0,-35.25638109472324,-24.0,158.0,1.7265750814015095,3.656530244426833,-0.40183541068666684,0.13444407665307012,-0.050311983984982725
99.0,70.0,2.5167107580000003,25.0,1.0,309.0,85.0,324.0,86.0,1.0,-8.853128572900932,14.0,-15.0,3.4097763952747546,4.499270196547057,-0.1118445557121916,7.566439016006937,-0.058799838532857474
85.0,86.0,1.263866186,26.0,1.0,324.0,121.0,325.0,113.0,-8.0,7.926192842618075,-36.0,-1.0,2.647953095127387,3.528915960805013,-0.5901654138998854,2.382251562178341,-0.06876822124019867
121.0,113.0,1.4332740309999998,27.0,1.0,325.0,104.0,236.0,93.0,-11.0,-11.98779847305163,17.0,89.0,-2.005910523973457,3.2507285826825894,-0.3891595713751268,0.9181076034335699,-0.08047158202168353
104.0,93.0,1.416314125,28.0,1.0,236.0,57.0,302.0,52.0,-5.0,-0.9908278331854667,47.0,-66.0,3.427824606681811,1.706833494070989,-0.16711679604082175,1.812893237544743,-0.09420392166489586
57.0,52.0,3.41661191,29.0,1.0,302.0,1.0,100.0,123.0,-24.0,-12.66424053742474,56.0,-158.0,6.057556273679962,3.1493004115007586,0.3810765915950901,5.197919416639591,-0.11030342974173206
1.0,123.0,2.348380089,30.0,1.0,100.0,60.0,280.0,47.0,-13.0,-8.787902198801778,-59.0,-180.0,0.8593789993709954,2.971346409178573,-0.6177894159495552,5.700195546189748,-0.12915717208641295
60.0,47.0,2.83071208,31.0,1.0,280.0,125.0,348.0,75.0,-50.0,-35.25803690633519,-65.0,-68.0,3.712056805263653,2.6978042883549773,-0.007620143769515655,2.024474610212146,-0.15120564377182133
125.0,75.0,1.133298159,32.0,1.0,348.0,33.0,13.0,70.0,37.0,34.52327800231761,-54.0,-25.0,4.883909563707196,1.7305431285595776,-0.03556977411220956,3.531227143199724,-0.17694693959374239
33.0,70.0,0.9806792740000001,33.0,1.0,13.0,71.0,324.0,73.0,2.0,1.4650833504656298,-38.0,49.0,7.8652616921479215,2.284477767426498,0.36166026617120717,-0.33883155085019123,-0.20694021961468306
71.0,73.0,3.1627089980000003,34.0,1.0,324.0,128.0,303.0,76.0,-52.0,-40.4887418682995,-57.0,21.0,2.754578044617247,2.4585312814484435,-0.11392660188510288,-0.7729719464855873,-0.24180806324381066
128.0,76.0,2.813870192,35.0,1.0,303.0,40.0,103.0,42.0,2.0,-1.5386879321689726,-58.0,-160.0,5.453117665442719,2.1274849681235732,0.10918458569772574,6.360994388059636,-0.2822372137647499
40.0,42.0,3.048863173,36.0,1.0,103.0,15.0,16.0,8.0,-7.0,5.413857809535127,25.0,87.0,2.6859304728184137,0.955195083026904,-0.2715590251465561,2.457920881266021,-0.3289771198590561
15.0,8.0,0.9817681309999999,37.0,1.0,16.0,42.0,195.0,58.0,16.0,13.062778239027562,-27.0,-179.0,3.381441575563716,0.7560905800891857,-0.04132555945361644,4.524020044291088,-0.3828355871187822
42.0,58.0,2.296343803,38.0,1.0,195.0,124.0,67.0,94.0,-30.0,-14.639332857844938,64.0,128.0,8.661092320154117,-0.6371782937977563,-0.11439198198127773,4.182606728271744,-0.4446707686376003
124.0,94.0,3.415624142,39.0,1.0,67.0,147.0,156.0,134.0,-13.0,3.98371711133289,-23.0,-89.0,3.570062030455731,-0.9283208612358413,0.17214738973605323,2.9837640311101445,-0.5153786598052481
147.0,134.0,1.3826861380000002,40.0,1.0,156.0,93.0,149.0,92.0,-1.0,-10.997540578000002,54.0,7.0,1.8405774332311604,0.1569043221197551,-0.42155816043264077,2.0622997740359463,-0.5958752311851968
93.0,92.0,1.5492529869999998,41.0,1.0,149.0,87.0,285.0,93.0,6.0,-4.4137409271322845,6.0,-136.0,0.4892632218657644,0.17734340141681434,-0.256577183277119,5.313005239658089,-0.6870723498885238
87.0,93.0,7.599936007999999,42.0,1.0,285.0,83.0,265.0,88.0,5.0,-3.993722235993477,4.0,20.0,2.8393575221610767,-1.7146903668470255,0.12273368042726439,0.15956171666698696,-0.7898467209399571
83.0,88.0,2.06688118,43.0,1.0,265.0,108.0,69.0,120.0,12.0,16.043412271445032,-25.0,-164.0,4.838845562926235,-1.0166618314484785,-0.05813687575955993,2.2958280176579176,-0.9050012432494106
108.0,120.0,1.866180182,44.0,1.0,69.0,132.0,204.0,109.0,-23.0,-18.80065462351992,-24.0,-135.0,5.745925907277164,-0.07503241266630377,0.1553512959703027,1.916603753474197,-1.0332184366452528
132.0,109.0,2.8093681339999996,45.0,1.0,204.0,141.0,21.0,2.0,7.0,-4.697385019677899,-9.0,-177.0,2.612421122927744,-0.24000561175613666,-0.19427574153201357,2.6798603714754234,-1.1750059708540455
141.0,2.0,1.900793791,46.0,1.0,21.0,13.0,307.0,12.0,-1.0,10.715885121939632,-18.0,74.0,6.16525425132282,-0.23054716752442359,0.04821357179136959,2.143174072281016,-1.3306348228188205
13.0,12.0,1.580809832,47.0,1.0,307.0,36.0,146.0,146.0,-36.0,-39.61071803298087,-23.0,161.0,-2.4464104425642152,-0.29894623168415324,-0.6121865648962653,1.9646078250093495,-1.5000712055490493
36.0,146.0,1.31643796,48.0,1.0,146.0,106.0,149.0,95.0,-11.0,-9.52038710199476,-70.0,-3.0,2.5037314417270453,-1.2902540586142033,-0.24735656486271193,5.654223402587089,-1.6829041386619756
106.0,95.0,1.183260918,49.0,1.0,149.0,26.0,177.0,133.0,-39.0,-35.16024975980484,-66.0,-28.0,5.947893542066995,-1.9667005975666407,-0.01748450336215841,3.4714799000350385,-1.8782713425586226
26.0,133.0,1.9003939630000002,50.0,1.0,177.0,29.0,5.0,140.0,-35.0,-34.37689101541896,-3.0,172.0,4.52292433290571,-2.618360876384195,-0.048755479244104456,7.01021845934542,-2.0847869929675755
29.0,140.0,1.195956945,51.0,1.0,5.0,46.0,22.0,140.0,-52.0,-53.009463475375256,-17.0,-17.0,4.665464119393859,-2.6700542252600226,-0.03178600641349532,1.3480260363126646,-2.300475711036967
46.0,140.0,2.549881935,52.0,1.0,22.0,62.0,250.0,101.0,39.0,42.95913589865994,-16.0,132.0,1.3848584043564376,-2.409479284237423,-0.5396743879822685,6.7449854958310205,-2.522717910028032
62.0,101.0,1.500290871,53.0,1.0,250.0,92.0,64.0,137.0,45.0,34.700985984992926,-30.0,-174.0,0.9064076805143313,-2.4342068082579265,-0.40374550390888225,6.466905891059745,-2.748212182751619
92.0,137.0,3.1480498310000002,54.0,1.0,64.0,67.0,94.0,35.0,-32.0,-29.95960711715505,25.0,-30.0,4.113224620915035,-2.4353042678040797,-0.0903656965479613,1.6911546598111977,-2.9729606955306807
67.0,35.0,1.615064144,55.0,1.0,94.0,23.0,265.0,6.0,-17.0,-9.69908090848448,44.0,-171.0,4.743426445107201,-3.2859153330573156,0.11140872441599003,4.2854297030980035,-3.1922834558271576
23.0,6.0,2.133368969,56.0,1.0,265.0,72.0,329.0,65.0,-7.0,-8.270715974583386,-49.0,-64.0,2.3627356277973,-4.125379056413849,-0.27187563327310815,6.458843526643563,-3.400866753494797
72.0,65.0,2.613340855,57.0,1.0,329.0,63.0,14.0,49.0,-14.0,-10.28297089755792,9.0,-45.0,-0.8063837187017382,-4.0663682709407105,0.04552635660367364,8.585928463820514,-3.592849974841029
63.0,49.0,3.600251913,58.0,1.0,14.0,78.0,215.0,127.0,49.0,43.148273280721,-15.0,159.0,4.246865053112616,-2.8538200025330407,-0.05461553001756821,2.1716194619710882,-3.761953325639205
78.0,127.0,1.5988097190000001,59.0,1.0,215.0,54.0,340.0,58.0,4.0,7.157364768616258,24.0,-125.0,0.5845412106276425,-2.4374167534711235,-0.5841901769043077,5.430470107970226,-3.9016467939411936
54.0,58.0,2.630384207,60.0,1.0,340.0,43.0,293.0,29.0,-14.0,-16.528709174781813,11.0,47.0,6.230403796201572,-3.07433612066231,0.1565969994366828,3.417762309713132,-4.005358014094208
43.0,29.0,4.097243786,61.0,1.0,293.0,5.0,48.0,46.0,41.0,45.1798824684159,38.0,-115.0,4.476473664270009,-3.3416957876860227,0.2362709040252428,0.09961096623095796,-4.066713700473185
5.0,46.0,3.366116762,62.0,1.0,48.0,136.0,148.0,51.0,61.0,56.02717826656486,15.0,-100.0,6.333815189774401,-2.5372464209340446,-0.16415428790068343,2.568102227080499,-4.079806204310935
136.0,51.0,3.732186079,63.0,1.0,148.0,38.0,132.0,61.0,23.0,19.21487215927355,-48.0,16.0,2.501606931318398,-1.5486545802310212,0.24748846355177218,9.391152624038744,-4.039473761352918
38.0,61.0,1.9337759019999998,64.0,1.0,132.0,102.0,288.0,99.0,-3.0,-6.281290984841139,-64.0,-156.0,9.205171674494451,-1.4761459895633595,0.32303912974125193,2.463101941957308,-3.9415804258685365
102.0,99.0,5.583868027,65.0,1.0,288.0,137.0,193.0,41.0,50.0,42.884497289956684,-35.0,95.0,6.422866416965186,-1.6824791160962467,0.27962164339539347,0.7819761292731647,-3.783279818416626
137.0,41.0,4.5995121,66.0,1.0,193.0,135.0,227.0,111.0,-24.0,-26.686704337955252,2.0,-34.0,5.478019444053685,-1.4749326969902248,0.06989589214740705,2.3822571666099015,-3.5632459168645423
135.0,111.0,1.801028013,67.0,1.0,227.0,44.0,325.0,56.0,12.0,9.936655802283365,-55.0,-98.0,1.6982632940569813,-0.8625886092018668,-0.3423989708559943,1.7606269894131341,-3.281854401059216
44.0,56.0,2.265368938,68.0,1.0,325.0,66.0,234.0,40.0,-26.0,-23.442185688536046,-22.0,91.0,2.5976080674555457,0.028791507990530412,0.04261523528504656,2.0745512156010064,-2.941299640970712
77.0,146.0,2.648565054,70.0,1.0,254.0,95.0,238.0,102.0,7.0,-2.1117201262219574,-18.0,16.0,1.5270068768162315,0.9625442108282137,0.12060413975911591,0.7955333202684742,-2.545635302198198
95.0,102.0,1.4335570340000001,71.0,1.0,238.0,2.0,123.0,128.0,-20.0,-12.466913271864126,-53.0,115.0,4.3567642409994995,0.8923625533060772,-0.27887970834641423,4.454679532385484,-2.100730609861196
2.0,128.0,3.4832930560000004,72.0,1.0,123.0,123.0,224.0,100.0,-23.0,-7.24208370629346,25.0,-101.0,0.9918647540660432,1.0012236865038948,-0.35646295663210054,6.518292496104272,-1.6141393125801946
123.0,100.0,4.349895,73.0,1.0,224.0,35.0,317.0,59.0,24.0,20.64851512720217,-58.0,-93.0,7.724645838549775,1.632343982766411,0.09265062534696593,1.4916742015929434,-1.0948839602706868
35.0,59.0,0.999933958,74.0,1.0,317.0,100.0,191.0,96.0,-4.0,-9.335731882917816,-65.0,126.0,3.1070391062713565,3.123486299396537,-0.18733324176836508,0.7705667782193364,-0.553163808148172
100.0,96.0,2.650537968,75.0,1.0,191.0,96.0,195.0,99.0,3.0,-5.529636994987204,4.0,-4.0,2.6625604756693515,3.3797224242574178,-0.026961142463767192,1.4814246798391886,0.0
96.0,99.0,1.938784599,76.0,1.0,195.0,115.0,204.0,96.0,-19.0,-6.617537940677625,-19.0,-9.0,1.8572697524048862,2.2954205563825,-0.4366169073828553,4.857139327138469,0.553163808148172
115.0,96.0,2.18439889,77.0,1.0,204.0,116.0,14.0,109.0,-7.0,6.306914188157844,-1.0,-170.0,8.338756331839472,1.9872577018142636,-0.17453903250150776,8.696762771902831,1.0948839602706868
116.0,109.0,2.01410985,78.0,1.0,14.0,14.0,328.0,6.0,-8.0,4.18336827100951,-44.0,46.0,1.3797337439655484,1.98761629034169,-0.40430665864012727,6.680582444338519,1.6141393125801946
14.0,6.0,1.5328521730000002,79.0,1.0,328.0,118.0,337.0,107.0,-11.0,3.8022654754521277,42.0,-9.0,-2.1177843148423405,2.1638936307807883,-0.6085190136424308,2.9327822412953384,2.100730609861196
118.0,107.0,2.668838978,80.0,1.0,337.0,49.0,355.0,48.0,-1.0,-0.29995290673845787,69.0,-18.0,8.853181362740425,2.1638936307807883,0.4330730713816484,6.963846339928641,2.545635302198198
49.0,48.0,6.0171980860000005,81.0,1.0,355.0,73.0,209.0,112.0,39.0,36.97190606180514,-24.0,146.0,5.080226536144479,2.4302074290663023,-0.06890177181529997,1.3576703525584823,2.941299640970712
73.0,112.0,4.816577673,82.0,1.0,209.0,91.0,8.0,99.0,8.0,-2.5059437307202366,-18.0,-159.0,3.5508053015114363,3.1010200220802973,-0.0019190785940053686,4.326368818342402,3.281854401059216
91.0,99.0,4.550709009,83.0,1.0,8.0,130.0,271.0,118.0,-12.0,-3.7622034971305034,-39.0,97.0,1.1138921614605317,2.815528531747801,-0.46874610612347795,2.2565024653349117,3.5632459168645423
130.0,118.0,5.502745152,84.0,1.0,271.0,76.0,218.0,99.0,23.0,18.651922183927564,54.0,53.0,3.8475117015006868,2.615473826174705,-0.39048076047699937,6.903086163177085,3.783279818416626
,,,,,,,,,,,,,1.416320733820211,2.4227768010129114,-0.2081600468597228,3.8006905946614506,3.9415804258685365
93.0,95.0,2.448899031,1.0,2.0,50.0,124.0,248.0,108.0,-16.0,-0.6393328578449378,-31.0,162.0,7.5687333830141865,1.2034664040867622,0.1555295071282695,7.361855296690777,4.039473761352918
124.0,108.0,2.6988952160000004,2.0,2.0,248.0,65.0,77.0,113.0,48.0,51.01278648191111,59.0,171.0,4.756011287951672,1.8257359640324695,0.08599374567569776,4.39387196321342,4.079806204310935
65.0,113.0,2.085796118,3.0,2.0,77.0,102.0,117.0,104.0,2.0,-1.2812909848411387,-37.0,-40.0,2.915077540564019,2.7956669020343856,-0.1061344397939593,0.49628459700170446,4.066713700473185
102.0,104.0,1.086553812,4.0,2.0,117.0,57.0,86.0,59.0,2.0,6.009172166814533,45.0,31.0,7.3423914755811746,2.749928653342399,0.17645566770077636,-0.14583302891024932,4.005358014094208
57.0,59.0,1.220690966,5.0,2.0,86.0,99.0,346.0,124.0,25.0,18.743618905276758,-42.0,100.0,5.634505967659681,2.0870803552133848,0.12138762020766586,6.596766093326111,3.9016467939411936
99.0,124.0,2.154538155,6.0,2.0,346.0,66.0,285.0,80.0,14.0,16.557814311463954,33.0,61.0,9.356532485598843,2.0870803552133848,0.09630811899618044,4.932712715952427,3.761953325639205
66.0,80.0,2.099867344,7.0,2.0,285.0,16.0,52.0,18.0,2.0,14.40903082049861,50.0,-127.0,2.8776237922279377,2.392958434453871,-0.2938576630605381,5.7415750824805105,3.592849974841029
16.0,18.0,3.6715061660000003,8.0,2.0,52.0,77.0,180.0,14.0,-63.0,-68.10971164195293,-61.0,-128.0,5.32982219533764,3.5676175097143026,0.27129248733861167,0.9956421534604072,3.400866753494797
77.0,14.0,2.554686308,9.0,2.0,180.0,81.0,250.0,80.0,-1.0,-8.880426098981975,-4.0,-70.0,5.043994737673623,2.5651476934207573,0.26848928874677536,4.9783089512206145,3.1922834558271576
81.0,80.0,3.149061918,10.0,2.0,250.0,38.0,336.0,22.0,-16.0,-19.78512784072645,43.0,-86.0,3.884190954912072,0.6596655793762362,-0.3587112286843647,5.52929099458567,2.9729606955306807
38.0,22.0,3.9720668789999998,11.0,2.0,336.0,96.0,83.0,104.0,8.0,-0.5296369949872037,-58.0,-107.0,4.446702891708079,1.0057830998327737,-0.03762479463681109,4.47310434540039,2.748212182751619
